Pos,No,Driver,Car,Time
1,18,Lance StrollSTR,Racing Point BWT Mercedes,1:47.765
2,33,Max VerstappenVER,Red Bull Racing Honda,1:48.055
3,11,Sergio PerezPER,Racing Point BWT Mercedes,1:49.321
4,23,Alexander AlbonALB,Red Bull Racing Honda,1:50.448
5,3,Daniel RicciardoRIC,Renault,1:51.595
6,44,Lewis HamiltonHAM,Mercedes,1:52.560
7,31,Esteban OconOCO,Renault,1:52.622
8,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:52.745
9,77,Valtteri BottasBOT,Mercedes,1:53.258
10,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:57.226
11,5,Sebastian VettelVET,Ferrari,1:55.169
12,16,Charles LeclercLEC,Ferrari,1:56.696
13,20,Kevin MagnussenMAG,Haas Ferrari,2:08.007
14,4,Lando NorrisNOR,McLaren Renault,1:54.945
15,55,Carlos SainzSAI,McLaren Renault,1:55.410
16,26,Daniil KvyatKVY,AlphaTauri Honda,2:09.070
17,8,Romain GrosjeanGRO,Haas Ferrari,2:12.909
18,6,Nicholas LatifiLAT,Williams Mercedes,2:21.611
19,10,Pierre GaslyGAS,AlphaTauri Honda,1:58.556
20,63,George RussellRUS,Williams Mercedes,2:10.017
