Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:15.144
2,77,Valtteri BottasBOT,Mercedes,1:15.203
3,33,Max VerstappenVER,Red Bull Racing Honda,1:15.509
4,23,Alexander AlbonALB,Red Bull Racing Honda,1:15.954
5,16,Charles LeclercLEC,Ferrari,1:16.270
6,18,Lance StrollSTR,Racing Point BWT Mercedes,1:16.356
7,11,Sergio PerezPER,Racing Point BWT Mercedes,1:16.311
8,3,Daniel RicciardoRIC,Renault,1:16.543
9,55,Carlos SainzSAI,McLaren Renault,1:17.870
10,31,Esteban OconOCO,Renault,
11,4,Lando NorrisNOR,McLaren Renault,1:16.640
12,26,Daniil KvyatKVY,AlphaTauri Honda,1:16.854
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:16.854
14,5,Sebastian VettelVET,Ferrari,1:16.858
15,8,Romain GrosjeanGRO,Haas Ferrari,1:17.254
16,10,Pierre GaslyGAS,AlphaTauri Honda,1:17.125
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:17.220
18,63,George RussellRUS,Williams Mercedes,1:17.232
19,6,Nicholas LatifiLAT,Williams Mercedes,1:17.320
20,20,Kevin MagnussenMAG,Haas Ferrari,1:17.348
