Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:19.273
2,33,Max VerstappenVER,Red Bull Racing Honda,1:20.489
3,55,Carlos SainzSAI,McLaren Renault,1:20.671
4,77,Valtteri BottasBOT,Mercedes,1:20.701
5,31,Esteban OconOCO,Renault,1:20.922
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:21.011
7,10,Pierre GaslyGAS,AlphaTauri Honda,1:21.028
8,3,Daniel RicciardoRIC,Renault,1:21.192
9,4,Lando NorrisNOR,McLaren Renault,1:20.925
10,5,Sebastian VettelVET,Ferrari,1:21.651
11,63,George RussellRUS,Williams Mercedes,1:19.636
12,18,Lance StrollSTR,Racing Point BWT Mercedes,1:19.645
13,26,Daniil KvyatKVY,AlphaTauri Honda,1:19.717
14,16,Charles LeclercLEC,Ferrari,1:19.628
15,20,Kevin MagnussenMAG,Haas Ferrari,1:20.211
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:21.372
17,11,Sergio PerezPER,Racing Point BWT Mercedes,1:21.607
18,6,Nicholas LatifiLAT,Williams Mercedes,1:21.759
19,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:21.831
