Pos,No,Driver,Car,Time
1,77,Valtteri BottasBOT,Mercedes,1:13.609
2,44,Lewis HamiltonHAM,Mercedes,1:13.706
3,33,Max VerstappenVER,Red Bull Racing Honda,1:14.176
4,10,Pierre GaslyGAS,AlphaTauri Honda,1:14.502
5,3,Daniel RicciardoRIC,Renault,1:14.520
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:14.572
7,16,Charles LeclercLEC,Ferrari,1:14.616
8,26,Daniil KvyatKVY,AlphaTauri Honda,1:14.696
9,4,Lando NorrisNOR,McLaren Renault,1:14.814
10,55,Carlos SainzSAI,McLaren Renault,1:14.911
11,11,Sergio PerezPER,Racing Point BWT Mercedes,1:15.061
12,31,Esteban OconOCO,Renault,1:15.201
13,63,George RussellRUS,Williams Mercedes,1:15.323
14,5,Sebastian VettelVET,Ferrari,1:15.385
15,18,Lance StrollSTR,Racing Point BWT Mercedes,1:15.494
16,8,Romain GrosjeanGRO,Haas Ferrari,1:15.918
17,20,Kevin MagnussenMAG,Haas Ferrari,1:15.939
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:15.953
19,6,Nicholas LatifiLAT,Williams Mercedes,1:15.987
20,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:16.208
