Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,2,Mark WebberWEB,Red Bull Racing Renault,1:38.397,1:38.220,1:37.242,17
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:38.208,1:37.767,1:37.316,13
3,4,Lewis HamiltonHAM,McLaren Mercedes,1:39.180,1:38.000,1:37.469,16
4,5,Fernando AlonsoALO,Ferrari,1:39.144,1:37.987,1:37.534,19
5,9,Kimi RäikkönenRAI,Lotus Renault,1:38.887,1:38.227,1:37.625,17
6,6,Felipe MassaMAS,Ferrari,1:38.937,1:38.253,1:37.884,16
7,10,Romain GrosjeanGRO,Lotus Renault,1:38.863,1:38.275,1:37.934,20
8,12,Nico HulkenbergHUL,Force India Mercedes,1:38.981,1:38.428,1:38.266,18
9,8,Nico RosbergROS,Mercedes,1:38.999,1:38.417,1:38.361,17
10,7,Michael SchumacherMSC,Mercedes,1:38.808,1:38.436,1:38.513,18
11,3,Jenson ButtonBUT,McLaren Mercedes,1:38.615,1:38.441,,11
12,15,Sergio PerezPER,Sauber Ferrari,1:38.630,1:38.460,,13
13,14,Kamui KobayashiKOB,Sauber Ferrari,1:38.719,1:38.594,,14
14,11,Paul di RestaDIR,Force India Mercedes,1:38.942,1:38.643,,15
15,18,Pastor MaldonadoMAL,Williams Renault,1:39.024,1:38.725,,16
16,16,Daniel RicciardoRIC,STR Ferrari,1:38.784,1:39.084,,13
17,17,Jean-Eric VergneVER,STR Ferrari,1:38.744,1:39.340,,14
18,19,Bruno SennaSEN,Williams Renault,1:39.443,,,9
19,21,Vitaly PetrovPET,Caterham Renault,1:40.207,,,7
20,20,Heikki KovalainenKOV,Caterham Renault,1:40.333,,,10
21,25,Charles PicPIC,Marussia Cosworth,1:41.317,,,8
22,24,Timo GlockGLO,Marussia Cosworth,1:41.371,,,8
23,22,Pedro de la RosaDLR,HRT Cosworth,1:42.881,,,7
NC,23,Narain KarthikeyanKAR,HRT Cosworth,DNS,,,1
