Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:39.626,1:38.530,1:38.086,15
2,4,Lewis HamiltonHAM,McLaren Mercedes,1:39.169,1:38.616,1:38.410,17
3,18,Pastor MaldonadoMAL,Williams Renault,1:38.825,1:38.570,1:38.475,21
4,10,Romain GrosjeanGRO,Lotus Renault,1:39.530,1:38.489,1:38.505,16
5,9,Kimi RäikkönenRAI,Lotus Renault,1:39.464,1:38.531,1:38.513,16
6,8,Nico RosbergROS,Mercedes,1:39.061,1:38.504,1:38.623,17
7,14,Kamui KobayashiKOB,Sauber Ferrari,1:39.651,1:38.703,1:38.741,12
8,12,Nico HulkenbergHUL,Force India Mercedes,1:39.009,1:38.689,1:38.752,19
9,3,Jenson ButtonBUT,McLaren Mercedes,1:39.622,1:38.563,1:38.801,16
10,11,Paul di RestaDIR,Force India Mercedes,1:38.858,1:38.519,1:38.992,18
11,5,Fernando AlonsoALO,Ferrari,1:39.409,1:38.707,,14
12,7,Michael SchumacherMSC,Mercedes,1:39.447,1:38.770,,12
13,6,Felipe MassaMAS,Ferrari,1:39.388,1:38.780,,14
14,19,Bruno SennaSEN,Williams Renault,1:39.449,1:39.207,,15
15,15,Sergio PerezPER,Sauber Ferrari,1:39.353,1:39.358,,14
16,20,Heikki KovalainenKOV,Caterham Renault,1:40.087,1:40.295,,11
17,16,Daniel RicciardoRIC,STR Ferrari,1:39.924,1:40.358,,12
18,17,Jean-Eric VergneVER,STR Ferrari,1:40.203,,,9
19,2,Mark WebberWEB,Red Bull Racing Renault,1:40.395,,,7
20,21,Vitaly PetrovPET,Caterham Renault,1:40.457,,,8
21,22,Pedro de la RosaDLR,HRT Cosworth,1:42.171,,,7
22,23,Narain KarthikeyanKAR,HRT Cosworth,1:42.527,,,8
23,25,Charles PicPIC,Marussia Cosworth,1:42.675,,,10
