Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lewis HamiltonHAM,McLaren Mercedes,1:24.211,1:24.394,1:24.010,15
2,3,Jenson ButtonBUT,McLaren Mercedes,1:24.672,1:24.255,1:24.133,15
3,6,Felipe MassaMAS,Ferrari,1:24.882,1:24.505,1:24.247,16
4,11,Paul di RestaDIR,Force India Mercedes,1:24.875,1:24.345,1:24.304,17
5,7,Michael SchumacherMSC,Mercedes,1:25.302,1:24.675,1:24.540,14
6,1,Sebastian VettelVET,Red Bull Racing Renault,1:25.011,1:24.687,1:24.802,22
7,8,Nico RosbergROS,Mercedes,1:24.689,1:24.515,1:24.833,15
8,9,Kimi RäikkönenRAI,Lotus Renault,1:25.151,1:24.742,1:24.855,18
9,14,Kamui KobayashiKOB,Sauber Ferrari,1:25.317,1:24.683,1:25.109,18
10,5,Fernando AlonsoALO,Ferrari,1:24.175,1:24.242,1:25.678,16
11,2,Mark WebberWEB,Red Bull Racing Renault,1:25.556,1:24.809,,21
12,18,Pastor MaldonadoMAL,Williams Renault,1:25.103,1:24.820,,17
13,15,Sergio PerezPER,Sauber Ferrari,1:25.300,1:24.901,,14
14,19,Bruno SennaSEN,Williams Renault,1:25.135,1:25.042,,16
15,16,Daniel RicciardoRIC,STR Ferrari,1:25.728,1:25.312,,20
16,10,Jerome d'AmbrosioDAM,Lotus Renault,1:25.834,1:25.408,,19
17,17,Jean-Eric VergneVER,STR Ferrari,1:25.649,1:25.441,,18
18,20,Heikki KovalainenKOV,Caterham Renault,1:26.382,,,11
19,21,Vitaly PetrovPET,Caterham Renault,1:26.887,,,11
20,24,Timo GlockGLO,Marussia Cosworth,1:27.039,,,10
21,25,Charles PicPIC,Marussia Cosworth,1:27.073,,,9
22,23,Narain KarthikeyanKAR,HRT Cosworth,1:27.441,,,9
23,22,Pedro de la RosaDLR,HRT Cosworth,1:27.629,,,10
NC,12,Nico HulkenbergHUL,Force India Mercedes,DNF,,,2
