Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:26.387,1:25.435,1:25.283,13
2,2,Mark WebberWEB,Red Bull Racing Renault,1:26.744,1:25.610,1:25.327,17
3,4,Lewis HamiltonHAM,McLaren Mercedes,1:26.516,1:25.816,1:25.544,23
4,3,Jenson ButtonBUT,McLaren Mercedes,1:26.564,1:25.467,1:25.659,21
5,5,Fernando AlonsoALO,Ferrari,1:26.829,1:25.834,1:25.773,21
6,6,Felipe MassaMAS,Ferrari,1:26.939,1:26.111,1:25.857,18
7,9,Kimi RäikkönenRAI,Lotus Renault,1:26.740,1:26.101,1:26.236,25
8,15,Sergio PerezPER,Sauber Ferrari,1:27.179,1:26.076,1:26.360,23
9,18,Pastor MaldonadoMAL,Williams Renault,1:26.048,1:25.983,1:26.713,24
10,8,Nico RosbergROS,Mercedes,1:26.458,1:25.976,DNF,23
11,10,Romain GrosjeanGRO,Lotus Renault,1:26.897,1:26.136,,16
12,12,Nico HulkenbergHUL,Force India Mercedes,1:27.185,1:26.241,,20
13,19,Bruno SennaSEN,Williams Renault,1:26.851,1:26.331,,19
14,7,Michael SchumacherMSC,Mercedes,1:27.482,1:26.574,,19
15,16,Daniel RicciardoRIC,STR Ferrari,1:27.006,1:26.777,,19
16,11,Paul di RestaDIR,Force India Mercedes,1:27.462,1:26.989,,19
17,14,Kamui KobayashiKOB,Sauber Ferrari,1:27.517,1:27.219,,17
18,17,Jean-Eric VergneVER,STR Ferrari,1:27.525,,,11
19,21,Vitaly PetrovPET,Caterham Renault,1:28.756,,,10
20,20,Heikki KovalainenKOV,Caterham Renault,1:29.500,,,10
21,24,Timo GlockGLO,Marussia Cosworth,1:29.613,,,11
22,22,Pedro de la RosaDLR,HRT Cosworth,1:30.592,,,8
23,23,Narain KarthikeyanKAR,HRT Cosworth,1:30.593,,,10
24,25,Charles PicPIC,Marussia Cosworth,1:30.662,,,11
