Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,8,Nico RosbergROS,Mercedes,1:36.875,1:35.725,1:35.121,11
2,4,Lewis HamiltonHAM,McLaren Mercedes,1:36.763,1:35.902,1:35.626,14
3,7,Michael SchumacherMSC,Mercedes,1:36.797,1:35.794,1:35.691,13
4,14,Kamui KobayashiKOB,Sauber Ferrari,1:36.863,1:35.853,1:35.784,13
5,9,Kimi RäikkönenRAI,Lotus Renault,1:36.850,1:35.921,1:35.898,15
6,3,Jenson ButtonBUT,McLaren Mercedes,1:36.746,1:35.942,1:36.191,16
7,2,Mark WebberWEB,Red Bull Racing Renault,1:36.682,1:35.700,1:36.290,14
8,15,Sergio PerezPER,Sauber Ferrari,1:36.198,1:35.831,1:36.524,17
9,5,Fernando AlonsoALO,Ferrari,1:36.292,1:35.982,1:36.622,17
10,10,Romain GrosjeanGRO,Lotus Renault,1:36.343,1:35.903,DNF,15
11,1,Sebastian VettelVET,Red Bull Racing Renault,1:36.911,1:36.031,,11
12,6,Felipe MassaMAS,Ferrari,1:36.556,1:36.255,,14
13,18,Pastor MaldonadoMAL,Williams Renault,1:36.528,1:36.283,,14
14,19,Bruno SennaSEN,Williams Renault,1:36.674,1:36.289,,14
15,11,Paul di RestaDIR,Force India Mercedes,1:36.639,1:36.317,,14
16,12,Nico HulkenbergHUL,Force India Mercedes,1:36.921,1:36.745,,14
17,16,Daniel RicciardoRIC,STR Ferrari,1:36.933,1:36.956,,14
18,17,Jean-Eric VergneVER,STR Ferrari,1:37.714,,,8
19,20,Heikki KovalainenKOV,Caterham Renault,1:38.463,,,9
20,21,Vitaly PetrovPET,Caterham Renault,1:38.677,,,7
21,24,Timo GlockGLO,Marussia Cosworth,1:39.282,,,10
22,25,Charles PicPIC,Marussia Cosworth,1:39.717,,,10
23,22,Pedro de la RosaDLR,HRT Cosworth,1:40.411,,,7
24,23,Narain KarthikeyanKAR,HRT Cosworth,1:41.000,,,10
