Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lewis HamiltonHAM,McLaren Mercedes,1:41.497,1:40.901,1:40.630,15
2,2,Mark WebberWEB,Red Bull Racing Renault,1:41.933,1:41.277,1:40.978,17
RT,1,Sebastian VettelVET,Red Bull Racing Renault,1:42.160,1:41.511,1:41.073,16
3,18,Pastor MaldonadoMAL,Williams Renault,1:41.981,1:41.907,1:41.226,22
4,9,Kimi RäikkönenRAI,Lotus Renault,1:42.222,1:41.532,1:41.260,20
5,3,Jenson ButtonBUT,McLaren Mercedes,1:42.342,1:41.873,1:41.290,20
6,5,Fernando AlonsoALO,Ferrari,1:41.939,1:41.514,1:41.582,17
7,8,Nico RosbergROS,Mercedes,1:41.926,1:41.698,1:41.603,17
8,6,Felipe MassaMAS,Ferrari,1:41.974,1:41.846,1:41.723,17
9,10,Romain GrosjeanGRO,Lotus Renault,1:42.046,1:41.620,1:41.778,24
10,12,Nico HulkenbergHUL,Force India Mercedes,1:42.579,1:42.019,,16
11,15,Sergio PerezPER,Sauber Ferrari,1:42.624,1:42.084,,17
12,11,Paul di RestaDIR,Force India Mercedes,1:42.572,1:42.218,,16
13,7,Michael SchumacherMSC,Mercedes,1:42.735,1:42.289,,14
14,19,Bruno SennaSEN,Williams Renault,1:43.298,1:42.330,,18
15,14,Kamui KobayashiKOB,Sauber Ferrari,1:43.582,1:42.606,,17
16,16,Daniel RicciardoRIC,STR Ferrari,1:43.280,1:42.765,,14
17,17,Jean-Eric VergneVER,STR Ferrari,1:44.058,,,9
18,20,Heikki KovalainenKOV,Caterham Renault,1:44.956,,,11
19,25,Charles PicPIC,Marussia Cosworth,1:45.089,,,10
20,21,Vitaly PetrovPET,Caterham Renault,1:45.151,,,11
21,24,Timo GlockGLO,Marussia Cosworth,1:45.426,,,9
22,22,Pedro de la RosaDLR,HRT Cosworth,1:45.766,,,8
23,23,Narain KarthikeyanKAR,HRT Cosworth,1:46.382,,,9
