Pos.,No.,Driver,Team,Laps,Time / Retired,Pts.
1,63,George RussellRUS,Mercedes,62,1:40:22.367,25
2,1,Max VerstappenVER,Red Bull Racing,62,+5.430s,18
3,4,Lando NorrisNOR,McLaren,62,+6.066s,15
4,81,Oscar PiastriPIA,McLaren,62,+8.146s,12
5,12,Kimi AntonelliANT,Mercedes,62,+33.681s,10
6,16,Charles LeclercLEC,Ferrari,62,+45.996s,8
7,14,Fernando AlonsoALO,Aston Martin,62,+80.667s,6
8,44,Lewis HamiltonHAM,Ferrari,62,+85.251s,4
9,87,Oliver BearmanBEA,Haas F1 Team,62,+93.527s,2
10,55,Carlos SainzSAI,Williams,61,+1 lap,1
11,6,Isack HadjarHAD,Racing Bulls,61,+1 lap,0
12,22,Yuki TsunodaTSU,Red Bull Racing,61,+1 lap,0
13,18,Lance StrollSTR,Aston Martin,61,+1 lap,0
14,23,Alexander AlbonALB,Williams,61,+1 lap,0
15,30,Liam LawsonLAW,Racing Bulls,61,+1 lap,0
16,43,Franco ColapintoCOL,Alpine,61,+1 lap,0
17,5,Gabriel BortoletoBOR,Kick Sauber,61,+1 lap,0
18,31,Esteban OconOCO,Haas F1 Team,61,+1 lap,0
19,10,Pierre GaslyGAS,Alpine,61,+1 lap,0
20,27,Nico HulkenbergHUL,Kick Sauber,61,+1 lap,0
