POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,81,Oscar PiastriPIA,McLaren,66,1:32:57.375,25
2,4,Lando NorrisNOR,McLaren,66,+2.471s,18
3,16,Charles LeclercLEC,Ferrari,66,+10.455s,15
4,63,George RussellRUS,Mercedes,66,+11.359s,12
5,27,Nico HulkenbergHUL,Kick Sauber,66,+13.648s,10
6,44,Lewis HamiltonHAM,Ferrari,66,+15.508s,8
7,6,Isack HadjarHAD,Racing Bulls,66,+16.022s,6
8,10,Pierre GaslyGAS,Alpine,66,+17.882s,4
9,14,Fernando AlonsoALO,Aston Martin,66,+21.564s,2
10,1,Max VerstappenVER,Red Bull Racing,66,+21.826s,1
11,30,Liam LawsonLAW,Racing Bulls,66,+25.532s,0
12,5,Gabriel BortoletoBOR,Kick Sauber,66,+25.996s,0
13,22,Yuki TsunodaTSU,Red Bull Racing,66,+28.822s,0
14,55,Carlos SainzSAI,Williams,66,+29.309s,0
15,43,Franco ColapintoCOL,Alpine,66,+31.381s,0
16,31,Esteban OconOCO,Haas,66,+32.197s,0
17,87,Oliver BearmanBEA,Haas,66,+37.065s,0
NC,12,Kimi AntonelliANT,Mercedes,53,DNF,0
NC,23,Alexander AlbonALB,Williams,27,DNF,0
