POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,81,Oscar PiastriPIA,McLaren,72,1:38:29.849,25
2,1,Max VerstappenVER,Red Bull Racing,72,+1.271s,18
3,6,Isack HadjarHAD,Racing Bulls,72,+3.233s,15
4,63,George RussellRUS,Mercedes,72,+5.654s,12
5,23,Alexander AlbonALB,Williams,72,+6.327s,10
6,87,Oliver BearmanBEA,Haas,72,+9.044s,8
7,18,Lance StrollSTR,Aston Martin,72,+9.497s,6
8,14,Fernando AlonsoALO,Aston Martin,72,+11.709s,4
9,22,Yuki TsunodaTSU,Red Bull Racing,72,+13.597s,2
10,31,Esteban OconOCO,Haas,72,+14.063s,1
11,43,Franco ColapintoCOL,Alpine,72,+14.511s,0
12,30,Liam LawsonLAW,Racing Bulls,72,+17.063s,0
13,55,Carlos SainzSAI,Williams,72,+17.376s,0
14,27,Nico HulkenbergHUL,Kick Sauber,72,+19.725s,0
15,5,Gabriel BortoletoBOR,Kick Sauber,72,+21.565s,0
16,12,Kimi AntonelliANT,Mercedes,72,+22.029s,0
17,10,Pierre GaslyGAS,Alpine,72,+23.629s,0
18,4,Lando NorrisNOR,McLaren,64,DNF,0
NC,16,Charles LeclercLEC,Ferrari,52,DNF,0
NC,44,Lewis HamiltonHAM,Ferrari,22,DNF,0
