POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,81,Oscar PiastriPIA,McLaren,57,1:35:39.435,25
2,63,George RussellRUS,Mercedes,57,+15.499s,18
3,4,Lando NorrisNOR,McLaren,57,+16.273s,15
4,16,Charles LeclercLEC,Ferrari,57,+19.679s,12
5,44,Lewis HamiltonHAM,Ferrari,57,+27.993s,10
6,1,Max VerstappenVER,Red Bull Racing,57,+34.395s,8
7,10,Pierre GaslyGAS,Alpine,57,+36.002s,6
8,31,Esteban OconOCO,Haas,57,+44.244s,4
9,22,Yuki TsunodaTSU,Red Bull Racing,57,+45.061s,2
10,87,Oliver BearmanBEA,Haas,57,+47.594s,1
11,12,Kimi AntonelliANT,Mercedes,57,+48.016s,0
12,23,Alexander AlbonALB,Williams,57,+48.839s,0
13,6,Isack HadjarHAD,Racing Bulls,57,+56.314s,0
14,7,Jack DoohanDOO,Alpine,57,+57.806s,0
15,14,Fernando AlonsoALO,Aston Martin,57,+60.340s,0
16,30,Liam LawsonLAW,Racing Bulls,57,+64.435s,0
17,18,Lance StrollSTR,Aston Martin,57,+65.489s,0
18,5,Gabriel BortoletoBOR,Kick Sauber,57,+66.872s,0
NC,55,Carlos SainzSAI,Williams,45,DNF,0
DQ,27,Nico HulkenbergHUL,Kick Sauber,,DSQ,0
