POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,4,Lando NorrisNOR,McLaren,52,1:37:15.735,25
2,81,Oscar PiastriPIA,McLaren,52,+6.812s,18
3,27,Nico HulkenbergHUL,Kick Sauber,52,+34.742s,15
4,44,Lewis HamiltonHAM,Ferrari,52,+39.812s,12
5,1,Max VerstappenVER,Red Bull Racing,52,+56.781s,10
6,10,Pierre GaslyGAS,Alpine,52,+59.857s,8
7,18,Lance StrollSTR,Aston Martin,52,+60.603s,6
8,23,Alexander AlbonALB,Williams,52,+64.135s,4
9,14,Fernando AlonsoALO,Aston Martin,52,+65.858s,2
10,63,George RussellRUS,Mercedes,52,+70.674s,1
11,87,Oliver BearmanBEA,Haas,52,+72.095s,0
12,55,Carlos SainzSAI,Williams,52,+76.592s,0
13,31,Esteban OconOCO,Haas,52,+77.301s,0
14,16,Charles LeclercLEC,Ferrari,52,+84.477s,0
15,22,Yuki TsunodaTSU,Red Bull Racing,51,+1 lap,0
NC,12,Kimi AntonelliANT,Mercedes,23,DNF,0
NC,6,Isack HadjarHAD,Racing Bulls,17,DNF,0
NC,5,Gabriel BortoletoBOR,Kick Sauber,3,DNF,0
NC,30,Liam LawsonLAW,Racing Bulls,0,DNF,0
NC,43,Franco ColapintoCOL,Alpine,0,DNS,0
