POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,81,Oscar PiastriPIA,McLaren,56,1:30:55.026,25
2,4,Lando NorrisNOR,McLaren,56,+9.748s,18
3,63,George RussellRUS,Mercedes,56,+11.097s,15
4,1,Max VerstappenVER,Red Bull Racing,56,+16.656s,12
5,31,Esteban OconOCO,Haas,56,+49.969s,10
6,12,Kimi AntonelliANT,Mercedes,56,+53.748s,8
7,23,Alexander AlbonALB,Williams,56,+56.321s,6
8,87,Oliver BearmanBEA,Haas,56,+61.303s,4
9,18,Lance StrollSTR,Aston Martin,56,+70.204s,2
10,55,Carlos SainzSAI,Williams,56,+76.387s,1
11,6,Isack HadjarHAD,Racing Bulls,56,+78.875s,0
12,30,Liam LawsonLAW,Red Bull Racing,56,+81.147s,0
13,7,Jack DoohanDOO,Alpine,56,+88.401s,0
14,5,Gabriel BortoletoBOR,Kick Sauber,55,+1 lap,0
15,27,Nico HulkenbergHUL,Kick Sauber,55,+1 lap,0
16,22,Yuki TsunodaTSU,Racing Bulls,55,+1 lap,0
NC,14,Fernando AlonsoALO,Aston Martin,4,DNF,0
DQ,16,Charles LeclercLEC,Ferrari,,DSQ,0
DQ,44,Lewis HamiltonHAM,Ferrari,,DSQ,0
DQ,10,Pierre GaslyGAS,Alpine,,DSQ,0
