POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,81,Oscar PiastriPIA,McLaren,50,1:21:06.758,25
2,1,Max VerstappenVER,Red Bull Racing,50,+2.843s,18
3,16,Charles LeclercLEC,Ferrari,50,+8.104s,15
4,4,Lando NorrisNOR,McLaren,50,+9.196s,12
5,63,George RussellRUS,Mercedes,50,+27.236s,10
6,12,Kimi AntonelliANT,Mercedes,50,+34.688s,8
7,44,Lewis HamiltonHAM,Ferrari,50,+39.073s,6
8,55,Carlos SainzSAI,Williams,50,+64.630s,4
9,23,Alexander AlbonALB,Williams,50,+66.515s,2
10,6,Isack HadjarHAD,Racing Bulls,50,+67.091s,1
11,14,Fernando AlonsoALO,Aston Martin,50,+75.917s,0
12,30,Liam LawsonLAW,Racing Bulls,50,+78.451s,0
13,87,Oliver BearmanBEA,Haas,50,+79.194s,0
14,31,Esteban OconOCO,Haas,50,+99.723s,0
15,27,Nico HulkenbergHUL,Kick Sauber,49,+1 lap,0
16,18,Lance StrollSTR,Aston Martin,49,+1 lap,0
17,7,Jack DoohanDOO,Alpine,49,+1 lap,0
18,5,Gabriel BortoletoBOR,Kick Sauber,49,+1 lap,0
NC,22,Yuki TsunodaTSU,Red Bull Racing,1,DNF,0
NC,10,Pierre GaslyGAS,Alpine,0,DNF,0
