POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,81,Oscar PiastriPIA,McLaren,57,1:28:51.587,25
2,4,Lando NorrisNOR,McLaren,57,+4.630s,18
3,63,George RussellRUS,Mercedes,57,+37.644s,15
4,1,Max VerstappenVER,Red Bull Racing,57,+39.956s,12
5,23,Alexander AlbonALB,Williams,57,+48.067s,10
6,12,Kimi AntonelliANT,Mercedes,57,+55.502s,8
7,16,Charles LeclercLEC,Ferrari,57,+57.036s,6
8,44,Lewis HamiltonHAM,Ferrari,57,+60.186s,4
9,55,Carlos SainzSAI,Williams,57,+60.577s,2
10,22,Yuki TsunodaTSU,Red Bull Racing,57,+74.434s,1
11,6,Isack HadjarHAD,Racing Bulls,57,+74.602s,0
12,31,Esteban OconOCO,Haas,57,+82.006s,0
13,10,Pierre GaslyGAS,Alpine,57,+90.445s,0
14,27,Nico HulkenbergHUL,Kick Sauber,56,+1 lap,0
15,14,Fernando AlonsoALO,Aston Martin,56,+1 lap,0
16,18,Lance StrollSTR,Aston Martin,56,+1 lap,0
NC,30,Liam LawsonLAW,Racing Bulls,36,DNF,0
NC,5,Gabriel BortoletoBOR,Kick Sauber,30,DNF,0
NC,87,Oliver BearmanBEA,Haas,27,DNF,0
NC,7,Jack DoohanDOO,Alpine,0,DNF,0
