POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,4,Lando NorrisNOR,McLaren,70,1:23:47.693,25
2,81,Oscar PiastriPIA,McLaren,70,+2.695s,18
3,16,Charles LeclercLEC,Ferrari,70,+19.820s,15
4,44,Lewis HamiltonHAM,Ferrari,70,+29.020s,12
5,63,George RussellRUS,Mercedes,70,+62.396s,10
6,30,Liam LawsonLAW,Racing Bulls,70,+67.754s,8
7,14,Fernando AlonsoALO,Aston Martin,69,+1 lap,6
8,5,Gabriel BortoletoBOR,Kick Sauber,69,+1 lap,4
9,27,Nico HulkenbergHUL,Kick Sauber,69,+1 lap,2
10,31,Esteban OconOCO,Haas,69,+1 lap,1
11,87,Oliver BearmanBEA,Haas,69,+1 lap,0
12,6,Isack HadjarHAD,Racing Bulls,69,+1 lap,0
13,10,Pierre GaslyGAS,Alpine,69,+1 lap,0
14,18,Lance StrollSTR,Aston Martin,69,+1 lap,0
15,43,Franco ColapintoCOL,Alpine,69,+1 lap,0
16,22,Yuki TsunodaTSU,Red Bull Racing,68,+2 laps,0
NC,23,Alexander AlbonALB,Williams,15,DNF,0
NC,1,Max VerstappenVER,Red Bull Racing,0,DNF,0
NC,12,Kimi AntonelliANT,Mercedes,0,DNF,0
NC,55,Carlos SainzSAI,Williams,0,DNS,0
