POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,81,Oscar PiastriPIA,McLaren,44,1:25:22.601,25
2,4,Lando NorrisNOR,McLaren,44,+3.415s,18
3,16,Charles LeclercLEC,Ferrari,44,+20.185s,15
4,1,Max VerstappenVER,Red Bull Racing,44,+21.731s,12
5,63,George RussellRUS,Mercedes,44,+34.863s,10
6,23,Alexander AlbonALB,Williams,44,+39.926s,8
7,44,Lewis HamiltonHAM,Ferrari,44,+40.679s,6
8,30,Liam LawsonLAW,Racing Bulls,44,+52.033s,4
9,5,Gabriel BortoletoBOR,Kick Sauber,44,+56.434s,2
10,10,Pierre GaslyGAS,Alpine,44,+72.714s,1
11,87,Oliver BearmanBEA,Haas,44,+73.145s,0
12,27,Nico HulkenbergHUL,Kick Sauber,44,+73.628s,0
13,22,Yuki TsunodaTSU,Red Bull Racing,44,+75.395s,0
14,18,Lance StrollSTR,Aston Martin,44,+79.831s,0
15,31,Esteban OconOCO,Haas,44,+86.063s,0
16,12,Kimi AntonelliANT,Mercedes,44,+86.721s,0
17,14,Fernando AlonsoALO,Aston Martin,44,+87.924s,0
18,55,Carlos SainzSAI,Williams,44,+92.024s,0
19,43,Franco ColapintoCOL,Alpine,44,+95.250s,0
20,6,Isack HadjarHAD,Racing Bulls,43,+1 lap,0
