POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,63,George RussellRUS,Mercedes,70,1:31:52.688,25
2,1,Max VerstappenVER,Red Bull Racing,70,+0.228s,18
3,12,Kimi AntonelliANT,Mercedes,70,+1.014s,15
4,81,Oscar PiastriPIA,McLaren,70,+2.109s,12
5,16,Charles LeclercLEC,Ferrari,70,+3.442s,10
6,44,Lewis HamiltonHAM,Ferrari,70,+10.713s,8
7,14,Fernando AlonsoALO,Aston Martin,70,+10.972s,6
8,27,Nico HulkenbergHUL,Kick Sauber,70,+15.364s,4
9,31,Esteban OconOCO,Haas,69,+1 lap,2
10,55,Carlos SainzSAI,Williams,69,+1 lap,1
11,87,Oliver BearmanBEA,Haas,69,+1 lap,0
12,22,Yuki TsunodaTSU,Red Bull Racing,69,+1 lap,0
13,43,Franco ColapintoCOL,Alpine,69,+1 lap,0
14,5,Gabriel BortoletoBOR,Kick Sauber,69,+1 lap,0
15,10,Pierre GaslyGAS,Alpine,69,+1 lap,0
16,6,Isack HadjarHAD,Racing Bulls,69,+1 lap,0
17,18,Lance StrollSTR,Aston Martin,69,+1 lap,0
18,4,Lando NorrisNOR,McLaren,66,DNF,0
NC,30,Liam LawsonLAW,Racing Bulls,53,DNF,0
NC,23,Alexander AlbonALB,Williams,46,DNF,0
