Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Nick HeidfeldHEI,Sauber BMW,52,1:15.987,216.700
2,22,Lewis HamiltonHAM,McLaren Mercedes,17,1:16.039,216.552
3,1,Kimi RäikkönenRAI,Ferrari,66,1:16.342,215.692
4,23,Heikki KovalainenKOV,McLaren Mercedes,63,1:16.495,215.261
5,2,Felipe MassaMAS,Ferrari,19,1:16.502,215.241
6,4,Robert KubicaKUB,Sauber BMW,17,1:16.610,214.937
7,12,Timo GlockGLO,Toyota,24,1:16.712,214.652
8,15,Sebastian VettelVET,STR Ferrari,20,1:16.772,214.484
9,6,Nelson PiquetPIQ,Renault,66,1:16.910,214.099
10,14,Sebastien BourdaisBOU,STR Ferrari,63,1:16.969,213.935
11,9,David CoulthardCOU,Red Bull Renault,18,1:16.994,213.866
12,11,Jarno TrulliTRU,Toyota,17,1:17.023,213.785
13,5,Fernando AlonsoALO,Renault,17,1:17.115,213.530
14,10,Mark WebberWEB,Red Bull Renault,20,1:17.206,213.278
15,7,Nico RosbergROS,Williams Toyota,34,1:17.380,212.799
16,16,Jenson ButtonBUT,Honda,56,1:17.636,212.097
17,8,Kazuki NakajimaNAK,Williams Toyota,23,1:17.691,211.947
18,20,Adrian SutilSUT,Force India Ferrari,66,1:17.889,211.408
19,17,Rubens BarrichelloBAR,Honda,30,1:17.986,211.145
20,21,Giancarlo FisichellaFIS,Force India Ferrari,67,1:18.208,210.546
