Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Kimi RäikkönenRAI,Ferrari,14,1:45.599,172.740
2,2,Felipe MassaMAS,Ferrari,13,1:45.757,172.482
3,5,Fernando AlonsoALO,Renault,55,1:45.768,172.464
4,22,Lewis HamiltonHAM,McLaren Mercedes,14,1:46.072,171.969
5,7,Nico RosbergROS,Williams Toyota,39,1:46.454,171.352
6,4,Robert KubicaKUB,Sauber BMW,14,1:46.899,170.639
7,11,Jarno TrulliTRU,Toyota,32,1:46.972,170.523
8,12,Timo GlockGLO,Toyota,50,1:47.044,170.408
9,15,Sebastian VettelVET,STR Ferrari,13,1:47.271,170.047
10,8,Kazuki NakajimaNAK,Williams Toyota,13,1:47.287,170.022
11,3,Nick HeidfeldHEI,Sauber BMW,14,1:47.306,169.992
12,23,Heikki KovalainenKOV,McLaren Mercedes,14,1:47.337,169.943
13,9,David CoulthardCOU,Red Bull Renault,41,1:47.562,169.587
14,14,Sebastien BourdaisBOU,STR Ferrari,29,1:47.820,169.181
15,16,Jenson ButtonBUT,Honda,61,1:48.128,168.700
16,21,Giancarlo FisichellaFIS,Force India Ferrari,28,1:49.101,167.195
17,10,Mark WebberWEB,Red Bull Renault,13,1:49.183,167.069
18,20,Adrian SutilSUT,Force India Ferrari,38,1:49.270,166.936
19,17,Rubens BarrichelloBAR,Honda,13,1:50.320,165.348
20,6,Nelson PiquetPIQ,Renault,13,1:50.449,165.154
