Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Kimi RäikkönenRAI,Ferrari,18,1:32.150,200.842
2,3,Nick HeidfeldHEI,Sauber BMW,21,1:32.719,199.609
3,22,Lewis HamiltonHAM,McLaren Mercedes,16,1:32.817,199.398
4,10,Mark WebberWEB,Red Bull Renault,17,1:32.952,199.109
5,23,Heikki KovalainenKOV,McLaren Mercedes,17,1:33.130,198.728
6,5,Fernando AlonsoALO,Renault,17,1:33.133,198.722
7,6,Nelson PiquetPIQ,Renault,21,1:33.203,198.573
8,2,Felipe MassaMAS,Ferrari,19,1:33.257,198.458
9,14,Sebastien BourdaisBOU,STR Ferrari,21,1:33.367,198.224
10,16,Jenson ButtonBUT,Honda,21,1:33.376,198.205
11,17,Rubens BarrichelloBAR,Honda,21,1:33.386,198.183
12,4,Robert KubicaKUB,Sauber BMW,22,1:33.539,197.859
13,11,Jarno TrulliTRU,Toyota,22,1:33.808,197.292
14,8,Kazuki NakajimaNAK,Williams Toyota,21,1:34.277,196.310
15,12,Timo GlockGLO,Toyota,19,1:34.610,195.619
16,7,Nico RosbergROS,Williams Toyota,21,1:34.797,195.234
17,21,Giancarlo FisichellaFIS,Force India Ferrari,21,1:34.930,194.960
18,20,Adrian SutilSUT,Force India Ferrari,5,1:38.160,188.545
