Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Kimi RäikkönenRAI,Ferrari,61,1:21.195,194.243
2,2,Felipe MassaMAS,Ferrari,16,1:21.355,193.861
3,22,Lewis HamiltonHAM,McLaren Mercedes,15,1:21.493,193.533
4,6,Nelson PiquetPIQ,Renault,64,1:21.537,193.428
5,11,Jarno TrulliTRU,Toyota,65,1:21.638,193.189
6,12,Timo GlockGLO,Toyota,42,1:21.671,193.111
7,23,Heikki KovalainenKOV,McLaren Mercedes,19,1:21.753,192.917
8,5,Fernando AlonsoALO,Renault,47,1:21.793,192.823
9,4,Robert KubicaKUB,Sauber BMW,70,1:21.941,192.475
10,10,Mark WebberWEB,Red Bull Renault,67,1:22.125,192.043
11,3,Nick HeidfeldHEI,Sauber BMW,67,1:22.183,191.908
12,7,Nico RosbergROS,Williams Toyota,57,1:22.397,191.409
13,16,Jenson ButtonBUT,Honda,63,1:22.397,191.409
14,17,Rubens BarrichelloBAR,Honda,65,1:22.436,191.319
15,21,Giancarlo FisichellaFIS,Force India Ferrari,68,1:22.641,190.844
16,9,David CoulthardCOU,Red Bull Renault,67,1:22.732,190.634
17,14,Sebastien BourdaisBOU,STR Ferrari,29,1:23.220,189.516
18,8,Kazuki NakajimaNAK,Williams Toyota,67,1:23.307,189.319
19,20,Adrian SutilSUT,Force India Ferrari,29,1:23.650,188.542
20,15,Sebastian VettelVET,STR Ferrari,17,1:24.222,187.262
