Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Kimi RäikkönenRAI,Ferrari,20,1:26.506,222.144
2,22,Lewis HamiltonHAM,McLaren Mercedes,31,1:26.529,222.085
3,2,Felipe MassaMAS,Ferrari,16,1:26.666,221.734
4,4,Robert KubicaKUB,Sauber BMW,17,1:26.780,221.442
5,3,Nick HeidfeldHEI,Sauber BMW,20,1:27.219,220.328
6,5,Fernando AlonsoALO,Renault,57,1:27.280,220.174
7,10,Mark WebberWEB,Red Bull Renault,14,1:27.630,219.294
8,23,Heikki KovalainenKOV,McLaren Mercedes,55,1:27.640,219.269
9,7,Nico RosbergROS,Williams Toyota,55,1:27.795,218.882
10,6,Nelson PiquetPIQ,Renault,40,1:27.867,218.703
11,11,Jarno TrulliTRU,Toyota,52,1:27.926,218.556
12,9,David CoulthardCOU,Red Bull Renault,41,1:27.966,218.457
13,16,Jenson ButtonBUT,Honda,57,1:27.998,218.377
14,17,Rubens BarrichelloBAR,Honda,56,1:28.017,218.330
15,15,Sebastian VettelVET,STR Ferrari,38,1:28.180,217.926
16,12,Timo GlockGLO,Toyota,28,1:28.303,217.623
17,14,Sebastien BourdaisBOU,STR Ferrari,19,1:28.745,216.539
18,20,Adrian SutilSUT,Force India Ferrari,35,1:28.780,216.454
