Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Kimi RäikkönenRAI,Ferrari,53,1:28.047,236.859
2,14,Sebastien BourdaisBOU,STR Ferrari,52,1:29.258,233.646
3,10,Mark WebberWEB,Red Bull Renault,52,1:29.681,232.544
4,2,Felipe MassaMAS,Ferrari,52,1:29.696,232.505
5,22,Lewis HamiltonHAM,McLaren Mercedes,52,1:29.721,232.440
6,3,Nick HeidfeldHEI,Sauber BMW,53,1:29.807,232.217
7,16,Jenson ButtonBUT,Honda,52,1:29.827,232.166
8,12,Timo GlockGLO,Toyota,53,1:29.948,231.853
9,5,Fernando AlonsoALO,Renault,51,1:29.961,231.820
10,7,Nico RosbergROS,Williams Toyota,53,1:30.019,231.671
11,8,Kazuki NakajimaNAK,Williams Toyota,53,1:30.215,231.167
12,4,Robert KubicaKUB,Sauber BMW,52,1:30.298,230.955
13,23,Heikki KovalainenKOV,McLaren Mercedes,53,1:30.300,230.950
14,15,Sebastian VettelVET,STR Ferrari,53,1:30.510,230.414
15,11,Jarno TrulliTRU,Toyota,52,1:30.853,229.544
16,6,Nelson PiquetPIQ,Renault,53,1:30.918,229.380
17,9,David CoulthardCOU,Red Bull Renault,49,1:32.459,225.557
18,20,Adrian SutilSUT,Force India Ferrari,51,1:33.458,223.146
19,17,Rubens BarrichelloBAR,Honda,42,1:33.918,222.053
20,21,Giancarlo FisichellaFIS,Force India Ferrari,6,1:37.304,214.326
