Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Felipe MassaMAS,Ferrari,55,1:18.426,209.456
2,1,Kimi RäikkönenRAI,Ferrari,66,1:18.995,207.947
3,5,Fernando AlonsoALO,Renault,41,1:19.101,207.668
4,6,Nelson PiquetPIQ,Renault,54,1:19.199,207.411
5,23,Heikki KovalainenKOV,McLaren Mercedes,12,1:19.258,207.257
6,14,Sebastien BourdaisBOU,STR Ferrari,49,1:19.262,207.246
7,4,Robert KubicaKUB,Sauber BMW,16,1:19.292,207.168
8,3,Nick HeidfeldHEI,Sauber BMW,67,1:19.461,206.727
9,11,Jarno TrulliTRU,Toyota,18,1:19.524,206.564
10,7,Nico RosbergROS,Williams Toyota,66,1:19.531,206.545
11,22,Lewis HamiltonHAM,McLaren Mercedes,65,1:19.560,206.470
12,15,Sebastian VettelVET,STR Ferrari,21,1:19.617,206.322
13,10,Mark WebberWEB,Red Bull Renault,30,1:19.820,205.798
14,12,Timo GlockGLO,Toyota,4,1:20.254,204.685
15,8,Kazuki NakajimaNAK,Williams Toyota,32,1:20.364,204.404
16,17,Rubens BarrichelloBAR,Honda,66,1:20.575,203.869
17,16,Jenson ButtonBUT,Honda,66,1:20.849,203.178
18,20,Adrian SutilSUT,Force India Ferrari,6,1:21.189,202.327
19,21,Giancarlo FisichellaFIS,Force India Ferrari,20,1:21.577,201.365
