Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Felipe MassaMAS,Ferrari,36,1:38.708,197.637
2,22,Lewis HamiltonHAM,McLaren Mercedes,16,1:38.884,197.285
3,23,Heikki KovalainenKOV,McLaren Mercedes,19,1:39.112,196.831
4,4,Robert KubicaKUB,Sauber BMW,38,1:39.330,196.399
5,1,Kimi RäikkönenRAI,Ferrari,34,1:39.424,196.214
6,15,Sebastian VettelVET,STR Ferrari,36,1:39.485,196.093
7,3,Nick HeidfeldHEI,Sauber BMW,57,1:39.526,196.013
8,12,Timo GlockGLO,Toyota,54,1:39.535,195.995
9,6,Nelson PiquetPIQ,Renault,29,1:39.544,195.977
10,7,Nico RosbergROS,Williams Toyota,35,1:39.577,195.912
11,14,Sebastien BourdaisBOU,STR Ferrari,35,1:39.639,195.790
12,11,Jarno TrulliTRU,Toyota,37,1:39.657,195.755
13,8,Kazuki NakajimaNAK,Williams Toyota,56,1:39.803,195.469
14,10,Mark WebberWEB,Red Bull Renault,27,1:40.264,194.570
15,21,Giancarlo FisichellaFIS,Force India Ferrari,54,1:40.353,194.397
16,17,Rubens BarrichelloBAR,Honda,56,1:40.593,193.933
17,20,Adrian SutilSUT,Force India Ferrari,28,1:40.661,193.802
18,16,Jenson ButtonBUT,Honda,21,1:40.763,193.606
19,9,David CoulthardCOU,Red Bull Renault,13,1:40.978,193.194
