Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Felipe MassaMAS,Ferrari,36,1:13.736,210.377
2,12,Timo GlockGLO,Toyota,32,1:14.057,209.465
3,1,Kimi RäikkönenRAI,Ferrari,59,1:14.117,209.296
4,22,Lewis HamiltonHAM,McLaren Mercedes,31,1:14.159,209.177
5,11,Jarno TrulliTRU,Toyota,40,1:14.167,209.155
6,23,Heikki KovalainenKOV,McLaren Mercedes,36,1:14.207,209.042
7,15,Sebastian VettelVET,STR Ferrari,25,1:14.214,209.022
8,5,Fernando AlonsoALO,Renault,39,1:14.229,208.980
9,4,Robert KubicaKUB,Sauber BMW,61,1:14.375,208.570
10,3,Nick HeidfeldHEI,Sauber BMW,41,1:14.652,207.796
11,16,Jenson ButtonBUT,Honda,59,1:14.759,207.498
12,7,Nico RosbergROS,Williams Toyota,35,1:14.934,207.014
13,14,Sebastien BourdaisBOU,STR Ferrari,57,1:14.951,206.967
14,10,Mark WebberWEB,Red Bull Renault,40,1:15.033,206.741
15,21,Giancarlo FisichellaFIS,Force India Ferrari,36,1:15.212,206.249
16,17,Rubens BarrichelloBAR,Honda,35,1:15.414,205.696
17,20,Adrian SutilSUT,Force India Ferrari,60,1:15.773,204.721
18,8,Kazuki NakajimaNAK,Williams Toyota,50,1:15.865,204.473
