Pos,No,Driver,Car,Time
1,5,Damon HillHIL,Williams Renault,1:18.941
2,6,Jacques VilleneuveVIL,Williams Renault,1:19.721
3,1,Michael SchumacherMSC,Ferrari,1:20.149
4,3,Jean AlesiALE,Benetton Renault,1:20.711
5,11,Rubens BarrichelloBAR,Jordan Peugeot,1:20.818
6,8,David CoulthardCOU,McLaren Mercedes,1:20.888
7,2,Eddie IrvineIRV,Ferrari,1:20.931
8,4,Gerhard BergerBER,Benetton Renault,1:21.054
9,7,Mika HakkinenHAK,McLaren Mercedes,1:21.078
10,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:21.113
11,12,Martin BrundleBRU,Jordan Peugeot,1:21.177
12,14,Johnny HerbertHER,Sauber Ford,1:21.210
13,17,Jos VerstappenVER,Footwork Hart,1:21.367
14,19,Mika SaloSAL,Tyrrell Yamaha,1:21.458
15,9,Olivier PanisPAN,Ligier Mugen Honda,1:21.509
16,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.812
17,10,Pedro DinizDIN,Ligier Mugen Honda,1:22.733
18,21,Giancarlo FisichellaFIS,Minardi Ford,1:22.921
19,20,Pedro LamyLAM,Minardi Ford,1:23.139
20,16,Ricardo RossetROS,Footwork Hart,1:23.620
