Pos,No,Driver,Car,Time
1,5,Damon HillHIL,Williams Renault,1:20.650
2,6,Jacques VilleneuveVIL,Williams Renault,1:21.084
3,1,Michael SchumacherMSC,Ferrari,1:21.587
4,3,Jean AlesiALE,Benetton Renault,1:22.061
5,4,Gerhard BergerBER,Benetton Renault,1:22.125
6,2,Eddie IrvineIRV,Ferrari,1:22.333
7,11,Rubens BarrichelloBAR,Jordan Peugeot,1:22.379
8,9,Olivier PanisPAN,Ligier Mugen Honda,1:22.685
9,14,Johnny HerbertHER,Sauber Ford,1:23.027
10,7,Mika HakkinenHAK,McLaren Mercedes,1:23.070
11,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:23.195
12,19,Mika SaloSAL,Tyrrell Yamaha,1:23.224
13,17,Jos VerstappenVER,Footwork Hart,1:23.371
14,8,David CoulthardCOU,McLaren Mercedes,1:23.416
15,12,Martin BrundleBRU,Jordan Peugeot,1:23.438
16,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:24.401
17,10,Pedro DinizDIN,Ligier Mugen Honda,1:24.468
18,20,Pedro LamyLAM,Minardi Ford,1:25.274
19,21,Giancarlo FisichellaFIS,Minardi Ford,1:25.531
20,16,Ricardo RossetROS,Footwork Hart,1:25.621
