Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:17.879,,33
2,33,Max VerstappenVER,Red Bull Racing Honda,1:17.927,+0.048s,32
3,16,Charles LeclercLEC,Ferrari,1:18.186,+0.307s,27
4,44,Lewis HamiltonHAM,Mercedes,1:18.409,+0.530s,28
5,10,Pierre GaslyGAS,AlphaTauri Honda,1:18.676,+0.797s,30
6,31,Esteban OconOCO,Renault,1:18.805,+0.926s,28
7,26,Daniil KvyatKVY,AlphaTauri Honda,1:18.839,+0.960s,31
8,4,Lando NorrisNOR,McLaren Renault,1:18.981,+1.102s,30
9,23,Alexander AlbonALB,Red Bull Racing Honda,1:19.068,+1.189s,34
10,3,Daniel RicciardoRIC,Renault,1:19.140,+1.261s,25
11,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:19.219,+1.340s,21
12,8,Romain GrosjeanGRO,Haas Ferrari,1:19.224,+1.345s,25
13,5,Sebastian VettelVET,Ferrari,1:19.267,+1.388s,27
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:19.322,+1.443s,28
15,55,Carlos SainzSAI,McLaren Renault,1:19.457,+1.578s,33
16,63,George RussellRUS,Williams Mercedes,1:19.478,+1.599s,29
17,20,Kevin MagnussenMAG,Haas Ferrari,1:19.551,+1.672s,25
18,18,Lance StrollSTR,Racing Point BWT Mercedes,1:19.836,+1.957s,23
19,11,Sergio PerezPER,Racing Point BWT Mercedes,1:19.840,+1.961s,29
20,6,Nicholas LatifiLAT,Williams Mercedes,1:20.034,+2.155s,32
