Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:26.166,,21
2,44,Lewis HamiltonHAM,Mercedes,1:26.304,+0.138s,23
3,33,Max VerstappenVER,Red Bull Racing Honda,1:26.893,+0.727s,24
4,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,1:26.942,+0.776s,25
5,16,Charles LeclercLEC,Ferrari,1:27.062,+0.896s,20
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:27.280,+1.114s,22
7,5,Sebastian VettelVET,Ferrari,1:27.498,+1.332s,21
8,18,Lance StrollSTR,Racing Point BWT Mercedes,1:27.539,+1.373s,26
9,26,Daniil KvyatKVY,AlphaTauri Honda,1:27.653,+1.487s,27
10,31,Esteban OconOCO,Renault,1:27.701,+1.535s,23
11,10,Pierre GaslyGAS,AlphaTauri Honda,1:27.707,+1.541s,23
12,4,Lando NorrisNOR,McLaren Renault,1:27.846,+1.680s,26
13,8,Romain GrosjeanGRO,Haas Ferrari,1:27.908,+1.742s,26
14,55,Carlos SainzSAI,McLaren Renault,1:28.138,+1.972s,28
15,63,George RussellRUS,Williams Mercedes,1:28.170,+2.004s,24
16,6,Nicholas LatifiLAT,Williams Mercedes,1:28.226,+2.060s,24
17,3,Daniel RicciardoRIC,Renault,1:28.511,+2.345s,23
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:28.655,+2.489s,24
19,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari,1:28.960,+2.794s,22
20,20,Kevin MagnussenMAG,Haas Ferrari,1:29.319,+3.153s,17
