Pos,No,Driver,Car,Time,Gap,Laps
1,11,Sergio PerezPER,Racing Point BWT Mercedes,1:04.867,,32
2,33,Max VerstappenVER,Red Bull Racing Honda,1:04.963,+0.096s,31
3,77,Valtteri BottasBOT,Mercedes,1:05.089,+0.222s,31
4,44,Lewis HamiltonHAM,Mercedes,1:05.120,+0.253s,29
5,18,Lance StrollSTR,Racing Point BWT Mercedes,1:05.396,+0.529s,36
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:05.483,+0.616s,28
7,55,Carlos SainzSAI,McLaren Renault,1:05.602,+0.735s,40
8,10,Pierre GaslyGAS,AlphaTauri Honda,1:05.698,+0.831s,27
9,3,Daniel RicciardoRIC,Renault,1:05.769,+0.902s,31
10,5,Sebastian VettelVET,Ferrari,1:05.770,+0.903s,25
11,26,Daniil KvyatKVY,AlphaTauri Honda,1:05.815,+0.948s,28
12,16,Charles LeclercLEC,Ferrari,1:05.837,+0.970s,28
13,31,Esteban OconOCO,Renault,1:05.874,+1.007s,35
14,4,Lando NorrisNOR,McLaren Renault,1:05.908,+1.041s,25
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:06.441,+1.574s,23
16,8,Romain GrosjeanGRO,Haas Ferrari,1:06.446,+1.579s,31
17,40,Jack AitkenAIT,Williams Mercedes,1:06.768,+1.901s,35
18,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari,1:06.797,+1.930s,31
19,6,Nicholas LatifiLAT,Williams Mercedes,1:09.598,+4.731s,6
20,20,Kevin MagnussenMAG,Haas Ferrari,,,3
