Pos,No,Driver,Car,Time,Gap,Laps
1,6,Kimi RäikkönenRAI,McLaren Mercedes,1:20.846,,13
2,2,Rubens BarrichelloBAR,Ferrari,1:20.899,+0.053s,21
3,1,Michael SchumacherMSC,Ferrari,1:21.080,+0.234s,20
4,9,Jenson ButtonBUT,BAR Honda,1:21.124,+0.278s,16
5,4,Antonio PizzoniaPIZ,Williams BMW,1:21.264,+0.418s,18
6,10,Takuma SatoSAT,BAR Honda,1:21.313,+0.467s,20
7,3,Juan Pablo MontoyaMOY,Williams BMW,1:21.419,+0.573s,17
8,35,Anthony DavidsonDAV,BAR Honda,1:21.544,+0.698s,37
9,8,Fernando AlonsoALO,Renault,1:21.630,+0.784s,18
10,5,David CoulthardCOU,McLaren Mercedes,1:22.052,+1.206s,12
11,7,Jarno TrulliTRU,Renault,1:22.191,+1.345s,19
12,38,Ryan BriscoeBRI,Toyota,1:22.197,+1.351s,35
13,12,Felipe MassaMAS,Sauber Petronas,1:22.258,+1.412s,18
14,16,Ricardo ZontaZON,Toyota,1:22.298,+1.452s,22
15,11,Giancarlo FisichellaFIS,Sauber Petronas,1:22.302,+1.456s,12
16,39,Timo GlockGLO,Jordan Ford,1:22.332,+1.486s,17
17,14,Mark WebberWEB,Jaguar Cosworth,1:22.392,+1.546s,24
18,17,Olivier PanisPAN,Toyota,1:22.813,+1.967s,15
19,37,Bjorn WirdheimWIR,Jaguar Cosworth,1:22.914,+2.068s,26
20,15,Christian KlienKLI,Jaguar Cosworth,1:23.199,+2.353s,25
21,19,Giorgio PantanoPAN,Jordan Ford,1:23.818,+2.972s,17
22,40,Bas LeindersLEI,Minardi Cosworth,1:24.045,+3.199s,19
23,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:24.063,+3.217s,17
24,20,Gianmaria BruniBRU,Minardi Cosworth,1:24.225,+3.379s,23
25,18,Nick HeidfeldHEI,Jordan Ford,,,2
