Pos,No,Driver,Car,Time
1,22,Lewis HamiltonHAM,McLaren Mercedes,1:36.303
2,1,Kimi RäikkönenRAI,Ferrari,1:36.645
3,2,Felipe MassaMAS,Ferrari,1:36.889
4,5,Fernando AlonsoALO,Renault,1:36.927
5,23,Heikki KovalainenKOV,McLaren Mercedes,1:36.930
6,15,Sebastian VettelVET,STR Ferrari,1:37.685
7,11,Jarno TrulliTRU,Toyota,1:37.934
8,14,Sebastien BourdaisBOU,STR Ferrari,1:38.885
9,3,Nick HeidfeldHEI,Sauber BMW,1:37.201
10,6,Nelson PiquetPIQ,Renault,1:35.722
11,4,Robert KubicaKUB,Sauber BMW,1:35.814
12,12,Timo GlockGLO,Toyota,1:35.937
13,17,Rubens BarrichelloBAR,Honda,1:36.079
14,7,Nico RosbergROS,Williams Toyota,1:36.210
15,9,David CoulthardCOU,Red Bull Renault,1:36.731
16,10,Mark WebberWEB,Red Bull Renault,1:37.083
17,8,Kazuki NakajimaNAK,Williams Toyota,1:36.863
18,16,Jenson ButtonBUT,Honda,1:37.053
19,20,Adrian SutilSUT,Force India Ferrari,1:37.730
20,21,Giancarlo FisichellaFIS,Force India Ferrari,1:37.739
