Pos,No,Driver,Car,Time
1,22,Lewis HamiltonHAM,McLaren Mercedes,1:15.666
2,2,Felipe MassaMAS,Ferrari,1:15.859
3,23,Heikki KovalainenKOV,McLaren Mercedes,1:16.143
4,11,Jarno TrulliTRU,Toyota,1:16.191
5,5,Fernando AlonsoALO,Renault,1:16.385
6,1,Kimi RäikkönenRAI,Ferrari,1:16.389
7,4,Robert KubicaKUB,Sauber BMW,1:16.521
8,10,Mark WebberWEB,Red Bull Renault,1:17.014
9,15,Sebastian VettelVET,STR Ferrari,1:17.244
10,9,David CoulthardCOU,Red Bull Renault,1:17.503
11,12,Timo GlockGLO,Toyota,1:15.508
12,3,Nick HeidfeldHEI,Sauber BMW,1:15.581
13,7,Nico RosbergROS,Williams Toyota,1:15.633
14,16,Jenson ButtonBUT,Honda,1:15.701
15,14,Sebastien BourdaisBOU,STR Ferrari,1:15.858
16,8,Kazuki NakajimaNAK,Williams Toyota,1:16.083
17,6,Nelson PiquetPIQ,Renault,1:16.189
18,17,Rubens BarrichelloBAR,Honda,1:16.246
19,20,Adrian SutilSUT,Force India Ferrari,1:16.657
20,21,Giancarlo FisichellaFIS,Force India Ferrari,1:16.963
