Pos,No,Driver,Car,Time
1,1,Kimi RäikkönenRAI,Ferrari,1:16.449
2,2,Felipe MassaMAS,Ferrari,1:16.490
3,5,Fernando AlonsoALO,Renault,1:16.840
4,11,Jarno TrulliTRU,Toyota,1:16.920
5,4,Robert KubicaKUB,Sauber BMW,1:17.037
6,10,Mark WebberWEB,Red Bull Renault,1:17.233
7,9,David CoulthardCOU,Red Bull Renault,1:17.426
8,12,Timo GlockGLO,Toyota,1:17.596
9,6,Nelson PiquetPIQ,Renault,1:15.770
10,23,Heikki KovalainenKOV,McLaren Mercedes,1:16.944
11,3,Nick HeidfeldHEI,Sauber BMW,1:15.786
12,15,Sebastian VettelVET,STR Ferrari,1:15.816
13,22,Lewis HamiltonHAM,McLaren Mercedes,1:16.693
14,14,Sebastien BourdaisBOU,STR Ferrari,1:16.045
15,8,Kazuki NakajimaNAK,Williams Toyota,1:16.243
16,16,Jenson ButtonBUT,Honda,1:16.306
17,21,Giancarlo FisichellaFIS,Force India Ferrari,1:16.971
18,20,Adrian SutilSUT,Force India Ferrari,1:17.053
19,7,Nico RosbergROS,Williams Toyota,1:16.235
20,17,Rubens BarrichelloBAR,Honda,1:16.330
