Pos,No,Driver,Car,Time
1,2,Felipe MassaMAS,Ferrari,1:27.617
2,23,Heikki KovalainenKOV,McLaren Mercedes,1:27.808
3,22,Lewis HamiltonHAM,McLaren Mercedes,1:27.923
4,1,Kimi RäikkönenRAI,Ferrari,1:27.936
5,4,Robert KubicaKUB,Sauber BMW,1:28.390
6,10,Mark WebberWEB,Red Bull Renault,1:28.417
7,5,Fernando AlonsoALO,Renault,1:28.422
8,11,Jarno TrulliTRU,Toyota,1:28.836
9,3,Nick HeidfeldHEI,Sauber BMW,1:28.882
10,9,David CoulthardCOU,Red Bull Renault,1:29.959
11,7,Nico RosbergROS,Williams Toyota,1:27.012
12,17,Rubens BarrichelloBAR,Honda,1:27.219
13,16,Jenson ButtonBUT,Honda,1:27.298
14,15,Sebastian VettelVET,STR Ferrari,1:27.412
15,12,Timo GlockGLO,Toyota,1:27.806
16,8,Kazuki NakajimaNAK,Williams Toyota,1:27.547
17,6,Nelson PiquetPIQ,Renault,1:27.568
18,14,Sebastien BourdaisBOU,STR Ferrari,1:27.621
19,20,Adrian SutilSUT,Force India Ferrari,1:28.325
20,21,Giancarlo FisichellaFIS,Force India Ferrari,1:27.807
