Pos,No,Driver,Car,Time,Gap,Laps
1,5,Sebastian VettelVET,Ferrari,1:10.843,,19
2,16,Charles LeclercLEC,Ferrari,1:10.982,+0.139s,17
3,44,Lewis HamiltonHAM,Mercedes,1:11.236,+0.393s,20
4,77,Valtteri BottasBOT,Mercedes,1:11.531,+0.688s,19
5,33,Max VerstappenVER,Red Bull Racing Honda,1:11.842,+0.999s,15
6,10,Pierre GaslyGAS,Red Bull Racing Honda,1:11.914,+1.071s,19
7,3,Daniel RicciardoRIC,Renault,1:12.045,+1.202s,16
8,4,Lando NorrisNOR,McLaren Renault,1:12.154,+1.311s,17
9,11,Sergio PerezPER,Racing Point BWT Mercedes,1:12.175,+1.332s,17
10,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:12.298,+1.455s,23
11,27,Nico HulkenbergHUL,Renault,1:12.305,+1.462s,17
12,20,Kevin MagnussenMAG,Haas Ferrari,1:12.337,+1.494s,17
13,55,Carlos SainzSAI,McLaren Renault,1:12.399,+1.556s,21
14,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:12.423,+1.580s,20
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:12.627,+1.784s,24
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:12.708,+1.865s,19
17,8,Romain GrosjeanGRO,Haas Ferrari,1:13.197,+2.354s,11
18,63,George RussellRUS,Williams Mercedes,1:13.966,+3.123s,17
19,88,Robert KubicaKUB,Williams Mercedes,1:14.426,+3.583s,24
20,18,Lance StrollSTR,Racing Point BWT Mercedes,,,1
