Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:16.145,,14
2,5,Sebastian VettelVET,Ferrari,1:16.172,+0.027s,11
3,77,Valtteri BottasBOT,Mercedes,1:16.259,+0.114s,18
4,44,Lewis HamiltonHAM,Mercedes,1:16.381,+0.236s,16
5,55,Carlos SainzSAI,McLaren Renault,1:16.638,+0.493s,14
6,33,Max VerstappenVER,Red Bull Racing Honda,1:16.903,+0.758s,12
7,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:17.090,+0.945s,10
8,23,Alexander AlbonALB,Red Bull Racing Honda,1:17.094,+0.949s,19
9,4,Lando NorrisNOR,McLaren Renault,1:17.146,+1.001s,11
10,11,Sergio PerezPER,Racing Point BWT Mercedes,1:17.207,+1.062s,10
11,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:17.529,+1.384s,14
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:17.740,+1.595s,19
13,18,Lance StrollSTR,Racing Point BWT Mercedes,1:17.866,+1.721s,8
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:17.881,+1.736s,8
15,20,Kevin MagnussenMAG,Haas Ferrari,1:18.132,+1.987s,12
16,8,Romain GrosjeanGRO,Haas Ferrari,1:18.527,+2.382s,14
17,63,George RussellRUS,Williams Mercedes,1:20.965,+4.820s,13
18,88,Robert KubicaKUB,Williams Mercedes,1:22.002,+5.857s,13
19,27,Nico HulkenbergHUL,Renault,,,1
