Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:35.265,,39
2,55,Carlos SainzSAI,Ferrari,1:35.782,+0.517s,39
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:35.793,+0.528s,38
4,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:36.085,+0.820s,36
5,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:36.129,+0.864s,36
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:36.183,+0.918s,37
7,27,Nico HulkenbergHUL,Haas Ferrari,1:36.489,+1.224s,33
8,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:36.496,+1.231s,41
9,44,Lewis HamiltonHAM,Mercedes,1:36.663,+1.398s,42
10,23,Alexander AlbonALB,Williams Mercedes,1:36.688,+1.423s,42
11,4,Lando NorrisNOR,McLaren Mercedes,1:36.864,+1.599s,33
12,63,George RussellRUS,Mercedes,1:36.890,+1.625s,37
13,20,Kevin MagnussenMAG,Haas Ferrari,1:36.917,+1.652s,37
14,81,Oscar PiastriPIA,McLaren Mercedes,1:36.987,+1.722s,35
15,10,Pierre GaslyGAS,Alpine Renault,1:37.134,+1.869s,33
16,31,Esteban OconOCO,Alpine Renault,1:37.241,+1.976s,37
17,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:37.412,+2.147s,41
18,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:37.656,+2.391s,36
19,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:37.680,+2.415s,40
20,2,Logan SargeantSAR,Williams Mercedes,1:38.140,+2.875s,42
