Pos,No,Driver,Car,Time,Gap,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:29.603,,29
2,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:29.811,+0.208s,26
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:29.902,+0.299s,26
4,31,Esteban OconOCO,Alpine Renault,1:30.039,+0.436s,27
5,63,George RussellRUS,Mercedes,1:30.070,+0.467s,27
6,10,Pierre GaslyGAS,Alpine Renault,1:30.100,+0.497s,28
7,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:30.110,+0.507s,27
8,27,Nico HulkenbergHUL,Haas Ferrari,1:30.181,+0.578s,27
9,16,Charles LeclercLEC,Ferrari,1:30.341,+0.738s,28
10,55,Carlos SainzSAI,Ferrari,1:30.592,+0.989s,29
11,44,Lewis HamiltonHAM,Mercedes,1:30.599,+0.996s,27
12,4,Lando NorrisNOR,McLaren Mercedes,1:30.721,+1.118s,27
13,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:30.776,+1.173s,30
14,23,Alexander AlbonALB,Williams Mercedes,1:30.810,+1.207s,27
15,20,Kevin MagnussenMAG,Haas Ferrari,1:30.820,+1.217s,25
16,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:30.837,+1.234s,27
17,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:30.921,+1.318s,29
18,2,Logan SargeantSAR,Williams Mercedes,1:30.959,+1.356s,30
19,81,Oscar PiastriPIA,McLaren Mercedes,1:30.964,+1.361s,26
20,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:31.052,+1.449s,30
