Pos,No,Driver,Car,Time,Gap,Laps
1,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:30.907,,25
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:31.076,+0.169s,24
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:31.078,+0.171s,26
4,16,Charles LeclercLEC,Ferrari,1:31.367,+0.460s,26
5,27,Nico HulkenbergHUL,Haas Ferrari,1:31.376,+0.469s,25
6,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:31.450,+0.543s,28
7,10,Pierre GaslyGAS,Alpine Renault,1:31.475,+0.568s,24
8,44,Lewis HamiltonHAM,Mercedes,1:31.543,+0.636s,27
9,4,Lando NorrisNOR,McLaren Mercedes,1:31.570,+0.663s,27
10,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:31.586,+0.679s,27
11,31,Esteban OconOCO,Alpine Renault,1:31.608,+0.701s,25
12,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:31.793,+0.886s,28
13,63,George RussellRUS,Mercedes,1:31.882,+0.975s,25
14,55,Carlos SainzSAI,Ferrari,1:31.956,+1.049s,28
15,81,Oscar PiastriPIA,McLaren Mercedes,1:32.024,+1.117s,27
16,20,Kevin MagnussenMAG,Haas Ferrari,1:32.110,+1.203s,18
17,23,Alexander AlbonALB,Williams Mercedes,1:32.440,+1.533s,28
18,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:32.525,+1.618s,27
19,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:32.605,+1.698s,28
20,2,Logan SargeantSAR,Williams Mercedes,1:32.749,+1.842s,29
