Pos,No,Driver,Car,Time,Gap,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:18.686,,26
2,4,Lando NorrisNOR,McLaren Mercedes,1:18.805,+0.119s,31
3,16,Charles LeclercLEC,Ferrari,1:18.952,+0.266s,33
4,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:18.955,+0.269s,33
5,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:18.988,+0.302s,29
6,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:19.002,+0.316s,31
7,44,Lewis HamiltonHAM,Mercedes,1:19.024,+0.338s,30
8,31,Esteban OconOCO,Alpine Renault,1:19.077,+0.391s,29
9,81,Oscar PiastriPIA,McLaren Mercedes,1:19.163,+0.477s,31
10,63,George RussellRUS,Mercedes,1:19.227,+0.541s,31
11,55,Carlos SainzSAI,Ferrari,1:19.257,+0.571s,34
12,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:19.290,+0.604s,34
13,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:19.415,+0.729s,27
14,23,Alexander AlbonALB,Williams Mercedes,1:19.446,+0.760s,23
15,27,Nico HulkenbergHUL,Haas Ferrari,1:19.535,+0.849s,29
16,10,Pierre GaslyGAS,Alpine Renault,1:19.642,+0.956s,29
17,2,Logan SargeantSAR,Williams Mercedes,1:19.900,+1.214s,26
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:20.075,+1.389s,17
19,20,Kevin MagnussenMAG,Haas Ferrari,1:20.112,+1.426s,30
20,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:20.426,+1.740s,30
