Pos,No,Driver,Car,Time,Laps
1,5,Michael SchumacherMSC,Benetton Ford,1:21.908,21
2,0,Damon HillHIL,Williams Renault,1:22.559,24
3,7,Mika HakkinenHAK,McLaren Peugeot,1:22.660,22
4,6,Jyrki JarvilehtoJAR,Benetton Ford,1:22.983,21
5,14,Rubens BarrichelloBAR,Jordan Hart,1:23.594,23
6,27,Jean AlesiALE,Ferrari,1:23.700,23
7,28,Gerhard BergerBER,Ferrari,1:23.715,19
8,8,Martin BrundleBRU,McLaren Peugeot,1:23.763,24
9,2,David CoulthardCOU,Williams Renault,1:23.782,19
10,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:23.969,16
11,4,Mark BlundellBLU,Tyrrell Yamaha,1:23.981,21
12,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:24.254,21
13,15,Eddie IrvineIRV,Jordan Hart,1:24.930,23
14,24,Michele AlboretoALB,Minardi Ford,1:24.996,23
15,10,Gianni MorbidelliMOR,Footwork Ford,1:25.018,24
16,20,Erik ComasCOM,Larrousse Ford,1:25.050,24
17,19,Olivier BerettaBER,Larrousse Ford,1:25.161,17
18,23,Pierluigi MartiniMAR,Minardi Ford,1:25.247,16
19,26,Olivier PanisPAN,Ligier Renault,1:25.577,23
20,25,Eric BernardBER,Ligier Renault,1:25.766,24
21,9,Christian FittipaldiFIT,Footwork Ford,1:26.084,24
22,12,Johnny HerbertHER,Lotus Mugen Honda,1:26.397,15
23,11,Alessandro ZanardiZAN,Lotus Mugen Honda,1:27.685,16
24,31,David BrabhamBRA,Simtek Ford,1:28.151,20
25,34,Bertrand GachotGAC,Pacific Ilmor,1:28.873,13
26,33,Paul BelmondoBEL,Pacific Ilmor,1:30.657,23
27,32,Andrea MonterminiMON,Simtek Ford,1:31.111,11
