Pos,No,Driver,Car,Time,Laps
1,5,Michael SchumacherMSC,Benetton Ford,1:37.209,17
2,0,Damon HillHIL,Williams Renault,1:37.696,23
3,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:37.742,19
4,2,Nigel MansellMAN,Williams Renault,1:37.768,18
5,6,Johnny HerbertHER,Benetton Ford,1:37.828,17
6,15,Eddie IrvineIRV,Jordan Hart,1:37.880,17
7,27,Jean AlesiALE,Ferrari,1:37.907,20
8,7,Mika HakkinenHAK,McLaren Peugeot,1:37.998,24
9,8,Martin BrundleBRU,McLaren Peugeot,1:38.076,22
10,14,Rubens BarrichelloBAR,Jordan Hart,1:38.533,15
11,28,Gerhard BergerBER,Ferrari,1:38.570,24
12,10,Gianni MorbidelliMOR,Footwork Ford,1:39.030,15
13,4,Mark BlundellBLU,Tyrrell Yamaha,1:39.266,19
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:39.462,15
15,29,Jyrki JarvilehtoJAR,Sauber Mercedes,1:39.483,13
16,23,Pierluigi MartiniMAR,Minardi Ford,1:39.548,21
17,12,Alessandro ZanardiZAN,Lotus Mugen Honda,1:39.721,21
18,9,Christian FittipaldiFIT,Footwork Ford,1:39.868,21
19,26,Olivier PanisPAN,Ligier Renault,1:40.042,24
20,25,Franck LagorceLAG,Ligier Renault,1:40.577,23
21,24,Michele AlboretoALB,Minardi Ford,1:40.652,24
22,20,Erik ComasCOM,Larrousse Ford,1:40.978,23
23,19,Hideki NodaNOD,Larrousse Ford,1:40.990,21
24,31,David BrabhamBRA,Simtek Ford,1:41.659,17
25,11,Mika SaloSAL,Lotus Mugen Honda,1:41.805,22
26,32,Taki InoueINO,Simtek Ford,1:45.004,9
27,34,Bertrand GachotGAC,Pacific Ilmor,1:46.374,5
28,33,Paul BelmondoBEL,Pacific Ilmor,1:46.629,9
