Pos,No,Driver,Car,Time,Laps
1,2,Ayrton SennaSEN,Williams Renault,1:21.548,10
2,5,Michael SchumacherMSC,Benetton Ford,1:21.885,10
3,28,Gerhard BergerBER,Ferrari,1:22.113,16
4,0,Damon HillHIL,Williams Renault,1:22.168,14
5,6,Jyrki JarvilehtoJAR,Benetton Ford,1:22.717,13
6,27,Nicola LariniLAR,Ferrari,1:22.841,16
7,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:23.119,10
8,7,Mika HakkinenHAK,McLaren Peugeot,1:23.140,22
9,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:23.322,22
10,29,Karl WendlingerWEN,Sauber Mercedes,1:23.347,14
11,10,Gianni MorbidelliMOR,Footwork Ford,1:23.663,20
12,4,Mark BlundellBLU,Tyrrell Yamaha,1:23.703,21
13,8,Martin BrundleBRU,McLaren Peugeot,1:23.858,15
14,23,Pierluigi MartiniMAR,Minardi Ford,1:24.078,22
15,24,Michele AlboretoALB,Minardi Ford,1:24.276,23
16,9,Christian FittipaldiFIT,Footwork Ford,1:24.472,22
17,25,Eric BernardBER,Ligier Renault,1:24.678,15
18,20,Erik ComasCOM,Larrousse Ford,1:24.852,16
19,26,Olivier PanisPAN,Ligier Renault,1:24.996,16
20,12,Johnny HerbertHER,Lotus Mugen Honda,1:25.114,23
21,15,Andrea de CesarisDEC,Jordan Hart,1:25.234,20
22,11,Pedro LamyLAM,Lotus Mugen Honda,1:25.295,22
23,19,Olivier BerettaBER,Larrousse Ford,1:25.991,14
24,31,David BrabhamBRA,Simtek Ford,1:26.817,10
25,34,Bertrand GachotGAC,Pacific Ilmor,1:27.143,21
26,32,Roland RatzenbergerRAT,Simtek Ford,1:27.584,16
27,33,Paul BelmondoBEL,Pacific Ilmor,1:27.881,24
28,14,Rubens BarrichelloBAR,Jordan Hart,14:57.323,1
