Pos,No,Driver,Car,Time,Laps
1,0,Damon HillHIL,Williams Renault,1:16.282,24
2,2,Nigel MansellMAN,Williams Renault,1:16.359,21
3,5,Michael SchumacherMSC,Benetton Ford,1:16.707,20
4,27,Jean AlesiALE,Ferrari,1:16.954,20
5,28,Gerhard BergerBER,Ferrari,1:16.959,22
6,15,Eddie IrvineIRV,Jordan Hart,1:17.441,22
7,14,Rubens BarrichelloBAR,Jordan Hart,1:17.482,22
8,6,Jos VerstappenVER,Benetton Ford,1:17.645,14
9,7,Mika HakkinenHAK,McLaren Peugeot,1:17.768,19
10,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:17.830,21
11,29,Andrea de CesarisDEC,Sauber Mercedes,1:17.866,23
12,8,Martin BrundleBRU,McLaren Peugeot,1:18.031,23
13,26,Olivier PanisPAN,Ligier Renault,1:18.044,23
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:18.192,24
15,25,Eric BernardBER,Ligier Renault,1:18.236,21
16,23,Pierluigi MartiniMAR,Minardi Ford,1:18.248,22
17,4,Mark BlundellBLU,Tyrrell Yamaha,1:18.381,24
18,9,Christian FittipaldiFIT,Footwork Ford,1:18.568,21
19,12,Johnny HerbertHER,Lotus Mugen Honda,1:18.715,24
20,20,Erik ComasCOM,Larrousse Ford,1:18.811,20
21,24,Michele AlboretoALB,Minardi Ford,1:18.890,24
22,10,Gianni MorbidelliMOR,Footwork Ford,1:18.936,20
23,11,Alessandro ZanardiZAN,Lotus Mugen Honda,1:19.066,23
24,31,David BrabhamBRA,Simtek Ford,1:19.771,22
25,19,Olivier BerettaBER,Larrousse Ford,1:19.863,16
26,32,Jean-Marc GounonGOU,Simtek Ford,1:21.829,17
27,34,Bertrand GachotGAC,Pacific Ilmor,1:21.952,22
28,33,Paul BelmondoBEL,Pacific Ilmor,1:23.004,15
