Pos,No,Driver,Car,Time,Laps
1,27,Jean AlesiALE,Ferrari,1:23.844,19
2,28,Gerhard BergerBER,Ferrari,1:23.978,24
3,0,Damon HillHIL,Williams Renault,1:24.158,21
4,12,Johnny HerbertHER,Lotus Mugen Honda,1:24.374,23
5,2,David CoulthardCOU,Williams Renault,1:24.502,21
6,26,Olivier PanisPAN,Ligier Renault,1:25.455,23
7,7,Mika HakkinenHAK,McLaren Peugeot,1:25.528,24
8,29,Andrea de CesarisDEC,Sauber Mercedes,1:25.540,23
9,15,Eddie IrvineIRV,Jordan Hart,1:25.568,12
10,6,Jos VerstappenVER,Benetton Ford,1:25.618,18
11,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:25.628,20
12,25,Eric BernardBER,Ligier Renault,1:25.718,20
13,11,Alessandro ZanardiZAN,Lotus Mugen Honda,1:25.733,23
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:25.889,23
15,8,Martin BrundleBRU,McLaren Peugeot,1:25.933,23
16,14,Rubens BarrichelloBAR,Jordan Hart,1:25.946,20
17,10,Gianni MorbidelliMOR,Footwork Ford,1:26.002,24
18,23,Pierluigi MartiniMAR,Minardi Ford,1:26.056,14
19,9,Christian FittipaldiFIT,Footwork Ford,1:26.337,24
20,5,Jyrki JarvilehtoJAR,Benetton Ford,1:26.384,24
21,4,Mark BlundellBLU,Tyrrell Yamaha,1:26.574,18
22,24,Michele AlboretoALB,Minardi Ford,1:26.832,17
23,19,Yannick DalmasDAL,Larrousse Ford,1:27.846,21
24,20,Erik ComasCOM,Larrousse Ford,1:27.894,15
25,32,Jean-Marc GounonGOU,Simtek Ford,1:28.353,23
26,31,David BrabhamBRA,Simtek Ford,1:28.619,17
27,34,Bertrand GachotGAC,Pacific Ilmor,1:31.387,18
28,33,Paul BelmondoBEL,Pacific Ilmor,1:32.035,12
