Pos,No,Driver,Car,Time,Laps
1,0,Damon HillHIL,Williams Renault,1:24.960,20
2,5,Michael SchumacherMSC,Benetton Ford,1:24.963,19
3,28,Gerhard BergerBER,Ferrari,1:24.980,20
4,27,Jean AlesiALE,Ferrari,1:25.541,22
5,7,Mika HakkinenHAK,McLaren Peugeot,1:26.268,21
6,14,Rubens BarrichelloBAR,Jordan Hart,1:26.271,22
7,2,David CoulthardCOU,Williams Renault,1:26.337,19
8,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:26.414,24
9,8,Martin BrundleBRU,McLaren Peugeot,1:26.768,24
10,6,Jos VerstappenVER,Benetton Ford,1:26.841,12
11,4,Mark BlundellBLU,Tyrrell Yamaha,1:26.920,22
12,15,Eddie IrvineIRV,Jordan Hart,1:27.065,23
13,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:27.284,19
14,23,Pierluigi MartiniMAR,Minardi Ford,1:27.522,24
15,26,Olivier PanisPAN,Ligier Renault,1:27.785,21
16,10,Gianni MorbidelliMOR,Footwork Ford,1:27.886,24
17,24,Michele AlboretoALB,Minardi Ford,1:28.100,24
18,29,Andrea de CesarisDEC,Sauber Mercedes,1:28.212,22
19,11,Alessandro ZanardiZAN,Lotus Mugen Honda,1:28.225,24
20,9,Christian FittipaldiFIT,Footwork Ford,1:28.231,22
21,12,Johnny HerbertHER,Lotus Mugen Honda,1:28.340,24
22,20,Erik ComasCOM,Larrousse Ford,1:28.519,23
23,25,Eric BernardBER,Ligier Renault,1:28.955,21
24,19,Olivier BerettaBER,Larrousse Ford,1:29.299,21
25,31,David BrabhamBRA,Simtek Ford,1:30.690,16
26,32,Jean-Marc GounonGOU,Simtek Ford,1:30.722,24
27,34,Bertrand GachotGAC,Pacific Ilmor,1:31.496,14
28,33,Paul BelmondoBEL,Pacific Ilmor,1:32.507,14
