Pos,No,Driver,Car,Time,Laps
1,2,Nigel MansellMAN,Williams Renault,1:16.179,23
2,5,Michael SchumacherMSC,Benetton Ford,1:16.197,21
3,0,Damon HillHIL,Williams Renault,1:16.830,24
4,7,Mika HakkinenHAK,McLaren Peugeot,1:16.992,21
5,14,Rubens BarrichelloBAR,Jordan Hart,1:17.537,16
6,15,Eddie IrvineIRV,Jordan Hart,1:17.667,11
7,6,Johnny HerbertHER,Benetton Ford,1:17.727,21
8,27,Jean AlesiALE,Ferrari,1:17.801,20
9,8,Martin BrundleBRU,McLaren Peugeot,1:17.950,22
10,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:17.962,23
11,28,Gerhard BergerBER,Ferrari,1:18.070,22
12,26,Olivier PanisPAN,Ligier Renault,1:18.072,24
13,4,Mark BlundellBLU,Tyrrell Yamaha,1:18.237,24
14,12,Alessandro ZanardiZAN,Lotus Mugen Honda,1:18.331,24
15,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:18.411,20
16,24,Michele AlboretoALB,Minardi Ford,1:18.755,24
17,29,Jyrki JarvilehtoJAR,Sauber Mercedes,1:18.806,23
18,23,Pierluigi MartiniMAR,Minardi Ford,1:18.957,24
19,9,Christian FittipaldiFIT,Footwork Ford,1:19.061,23
20,25,Franck LagorceLAG,Ligier Renault,1:19.153,23
21,10,Gianni MorbidelliMOR,Footwork Ford,1:19.610,24
22,11,Mika SaloSAL,Lotus Mugen Honda,1:19.844,20
23,19,Hideki NodaNOD,Larrousse Ford,1:20.145,15
24,31,David BrabhamBRA,Simtek Ford,1:20.442,11
25,20,Jean-Denis DeletrazDEL,Larrousse Ford,1:22.422,17
26,32,Domenico SchiattarellaSCH,Simtek Ford,1:22.529,7
27,33,Paul BelmondoBEL,Pacific Ilmor,1:24.087,12
28,34,Bertrand GachotGAC,Pacific Ilmor,7:40.317,2
