Pos,No,Driver,Car,Time,Laps
1,28,Gerhard BergerBER,Ferrari,1:20.608,19
2,0,Damon HillHIL,Williams Renault,1:20.766,22
3,2,David CoulthardCOU,Williams Renault,1:21.033,20
4,7,Mika HakkinenHAK,McLaren Peugeot,1:21.251,16
5,27,Jean AlesiALE,Ferrari,1:21.517,13
6,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:21.590,14
7,8,Martin BrundleBRU,McLaren Peugeot,1:21.656,22
8,14,Rubens BarrichelloBAR,Jordan Hart,1:21.796,23
9,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:21.921,13
10,6,Jos VerstappenVER,Benetton Ford,1:22.000,23
11,9,Christian FittipaldiFIT,Footwork Ford,1:22.132,22
12,4,Mark BlundellBLU,Tyrrell Yamaha,1:22.288,23
13,15,Eddie IrvineIRV,Jordan Hart,1:22.294,21
14,5,Jyrki JarvilehtoJAR,Benetton Ford,1:22.369,22
15,26,Olivier PanisPAN,Ligier Renault,1:22.672,21
16,10,Gianni MorbidelliMOR,Footwork Ford,1:22.756,22
17,29,Andrea de CesarisDEC,Sauber Mercedes,1:22.885,24
18,23,Pierluigi MartiniMAR,Minardi Ford,1:23.243,21
19,24,Michele AlboretoALB,Minardi Ford,1:23.364,22
20,12,Johnny HerbertHER,Lotus Mugen Honda,1:23.408,12
21,25,Eric BernardBER,Ligier Renault,1:23.699,21
22,20,Erik ComasCOM,Larrousse Ford,1:24.192,22
23,19,Yannick DalmasDAL,Larrousse Ford,1:24.438,19
24,31,David BrabhamBRA,Simtek Ford,1:24.514,20
25,11,Philippe AdamsADA,Lotus Mugen Honda,1:25.313,20
26,32,Jean-Marc GounonGOU,Simtek Ford,1:25.649,19
27,34,Bertrand GachotGAC,Pacific Ilmor,1:27.385,13
28,33,Paul BelmondoBEL,Pacific Ilmor,1:29.000,18
