Pos,No,Driver,Car,Time,Laps
1,5,Michael SchumacherMSC,Benetton Ford,1:18.258,21
2,0,Damon HillHIL,Williams Renault,1:18.824,23
3,2,David CoulthardCOU,Williams Renault,1:20.205,14
4,28,Gerhard BergerBER,Ferrari,1:20.219,22
5,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:20.232,23
6,8,Martin BrundleBRU,McLaren Peugeot,1:20.629,22
7,15,Eddie IrvineIRV,Jordan Hart,1:20.698,23
8,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:20.858,24
9,26,Olivier PanisPAN,Ligier Renault,1:20.929,23
10,14,Rubens BarrichelloBAR,Jordan Hart,1:20.952,24
11,4,Mark BlundellBLU,Tyrrell Yamaha,1:20.984,24
12,6,Jos VerstappenVER,Benetton Ford,1:21.141,14
13,27,Jean AlesiALE,Ferrari,1:21.206,23
14,7,Philippe AlliotALL,McLaren Peugeot,1:21.498,20
15,23,Pierluigi MartiniMAR,Minardi Ford,1:21.837,16
16,9,Christian FittipaldiFIT,Footwork Ford,1:21.873,22
17,29,Andrea de CesarisDEC,Sauber Mercedes,1:21.946,24
18,25,Eric BernardBER,Ligier Renault,1:22.038,22
19,10,Gianni MorbidelliMOR,Footwork Ford,1:22.311,15
20,24,Michele AlboretoALB,Minardi Ford,1:22.379,22
21,20,Erik ComasCOM,Larrousse Ford,1:22.487,24
22,11,Alessandro ZanardiZAN,Lotus Mugen Honda,1:22.513,22
23,31,David BrabhamBRA,Simtek Ford,1:22.614,24
24,12,Johnny HerbertHER,Lotus Mugen Honda,1:22.705,24
25,19,Olivier BerettaBER,Larrousse Ford,1:22.899,24
26,32,Jean-Marc GounonGOU,Simtek Ford,1:24.191,20
27,34,Bertrand GachotGAC,Pacific Ilmor,1:24.908,22
28,33,Paul BelmondoBEL,Pacific Ilmor,1:26.275,22
