Pos,No,Driver,Car,Time,Laps
1,2,Ayrton SennaSEN,Williams Renault,1:15.962,22
2,5,Michael SchumacherMSC,Benetton Ford,1:16.290,20
3,27,Jean AlesiALE,Ferrari,1:17.385,14
4,0,Damon HillHIL,Williams Renault,1:17.554,23
5,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:17.806,24
6,10,Gianni MorbidelliMOR,Footwork Ford,1:17.866,20
7,29,Karl WendlingerWEN,Sauber Mercedes,1:17.927,24
8,7,Mika HakkinenHAK,McLaren Peugeot,1:18.122,17
9,6,Jos VerstappenVER,Benetton Ford,1:18.183,19
10,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:18.194,22
11,9,Christian FittipaldiFIT,Footwork Ford,1:18.204,20
12,4,Mark BlundellBLU,Tyrrell Yamaha,1:18.246,19
13,20,Erik ComasCOM,Larrousse Ford,1:18.321,18
14,14,Rubens BarrichelloBAR,Jordan Hart,1:18.414,18
15,23,Pierluigi MartiniMAR,Minardi Ford,1:18.659,22
16,15,Eddie IrvineIRV,Jordan Hart,1:18.751,24
17,28,Gerhard BergerBER,Ferrari,1:18.855,9
18,8,Martin BrundleBRU,McLaren Peugeot,1:18.864,14
19,26,Olivier PanisPAN,Ligier Renault,1:19.304,21
20,25,Eric BernardBER,Ligier Renault,1:19.396,18
21,12,Johnny HerbertHER,Lotus Mugen Honda,1:19.483,23
22,24,Michele AlboretoALB,Minardi Ford,1:19.517,24
23,19,Olivier BerettaBER,Larrousse Ford,1:19.524,16
24,11,Pedro LamyLAM,Lotus Mugen Honda,1:19.975,21
25,34,Bertrand GachotGAC,Pacific Ilmor,1:20.729,18
26,31,David BrabhamBRA,Simtek Ford,1:21.186,15
27,32,Roland RatzenbergerRAT,Simtek Ford,1:22.707,12
