Pos,No,Driver,Car,Time,Laps
1,2,Ayrton SennaSEN,Williams Renault,1:10.218,15
2,5,Michael SchumacherMSC,Benetton Ford,1:10.440,18
3,0,Damon HillHIL,Williams Renault,1:10.771,15
4,7,Mika HakkinenHAK,McLaren Peugeot,1:11.683,18
5,28,Gerhard BergerBER,Ferrari,1:11.744,19
6,8,Martin BrundleBRU,McLaren Peugeot,1:12.351,22
7,27,Nicola LariniLAR,Ferrari,1:12.372,12
8,14,Rubens BarrichelloBAR,Jordan Hart,1:12.409,12
9,9,Christian FittipaldiFIT,Footwork Ford,1:12.444,22
10,6,Jos VerstappenVER,Benetton Ford,1:12.554,22
11,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:12.686,16
12,4,Mark BlundellBLU,Tyrrell Yamaha,1:12.751,21
13,10,Gianni MorbidelliMOR,Footwork Ford,1:12.866,21
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:13.013,22
15,24,Michele AlboretoALB,Minardi Ford,1:13.016,20
16,20,Erik ComasCOM,Larrousse Ford,1:13.111,20
17,23,Pierluigi MartiniMAR,Minardi Ford,1:13.529,18
18,25,Eric BernardBER,Ligier Renault,1:13.613,15
19,29,Karl WendlingerWEN,Sauber Mercedes,1:13.855,21
20,15,Aguri SuzukiSUZ,Jordan Hart,1:13.932,21
21,19,Olivier BerettaBER,Larrousse Ford,1:14.101,20
22,26,Olivier PanisPAN,Ligier Renault,1:14.106,16
23,12,Johnny HerbertHER,Lotus Mugen Honda,1:14.424,20
24,11,Pedro LamyLAM,Lotus Mugen Honda,1:14.657,20
25,31,David BrabhamBRA,Simtek Ford,1:14.748,22
26,32,Roland RatzenbergerRAT,Simtek Ford,1:16.356,18
27,34,Bertrand GachotGAC,Pacific Ilmor,1:16.927,15
28,33,Paul BelmondoBEL,Pacific Ilmor,1:17.450,18
