Pos,No,Driver,Car,Time,Gap
1,0,Damon HillHIL,Williams Renault,1:24.959,
2,27,Jean AlesiALE,Ferrari,1:25.117,+0.158s
3,2,Alain ProstPRO,Williams Renault,1:25.400,+0.441s
4,28,Gerhard BergerBER,Ferrari,1:26.237,+1.278s
5,5,Michael SchumacherMSC,Benetton Ford,1:26.359,+1.400s
6,25,Martin BrundleBRU,Ligier Renault,1:26.952,+1.993s
7,30,Jyrki JarvilehtoJAR,Sauber,1:27.471,+2.512s
8,6,Riccardo PatresePAT,Benetton Ford,1:27.712,+2.753s
9,26,Mark BlundellBLU,Ligier Renault,1:27.736,+2.777s
10,29,Karl WendlingerWEN,Sauber,1:27.822,+2.863s
11,20,Erik ComasCOM,Larrousse Lamborghini,1:27.914,+2.955s
12,21,Michele AlboretoALB,Lola Ferrari,1:28.263,+3.304s
13,14,Rubens BarrichelloBAR,Jordan Hart,1:28.271,+3.312s
14,9,Derek WarwickWAR,Footwork Mugen Honda,1:28.310,+3.351s
15,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:28.313,+3.354s
16,19,Philippe AlliotALL,Larrousse Lamborghini,1:28.524,+3.565s
17,8,Ayrton SennaSEN,McLaren Ford,1:28.550,+3.591s
18,15,Marco ApicellaAPI,Jordan Hart,1:28.789,+3.830s
19,23,Christian FittipaldiFIT,Minardi Ford,1:29.164,+4.205s
20,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:29.332,+4.373s
21,22,Luca BadoerBAD,Lola Ferrari,1:29.734,+4.775s
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:29.904,+4.945s
23,24,Pierluigi MartiniMAR,Minardi Ford,1:30.076,+5.117s
24,11,Pedro LamyLAM,Lotus Ford,1:30.149,+5.190s
25,12,Johnny HerbertHER,Lotus Ford,1:30.363,+5.404s
26,7,Michael AndrettiAND,McLaren Ford,1:39.944,+14.985s
