Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:12.445,
2,8,Ayrton SennaSEN,McLaren Ford,1:13.434,+0.989s
3,0,Damon HillHIL,Williams Renault,1:13.465,+1.020s
4,7,Mika HakkinenHAK,McLaren Ford,1:13.817,+1.372s
5,27,Jean AlesiALE,Ferrari,1:14.448,+2.003s
6,5,Michael SchumacherMSC,Benetton Ford,1:14.542,+2.097s
7,6,Riccardo PatresePAT,Benetton Ford,1:14.755,+2.310s
8,9,Derek WarwickWAR,Footwork Mugen Honda,1:14.788,+2.343s
9,28,Gerhard BergerBER,Ferrari,1:14.885,+2.440s
10,25,Martin BrundleBRU,Ligier Renault,1:15.263,+2.818s
11,29,Karl WendlingerWEN,Sauber,1:15.435,+2.990s
12,14,Rubens BarrichelloBAR,Jordan Hart,1:15.461,+3.016s
13,30,Jyrki JarvilehtoJAR,Sauber,1:15.487,+3.042s
14,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:15.691,+3.246s
15,26,Mark BlundellBLU,Ligier Renault,1:15.695,+3.250s
16,12,Johnny HerbertHER,Lotus Ford,1:15.771,+3.326s
17,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:15.841,+3.396s
18,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:16.320,+3.875s
19,11,Pedro LamyLAM,Lotus Ford,1:16.413,+3.968s
20,24,Pierluigi MartiniMAR,Minardi Ford,1:17.126,+4.681s
21,15,Emanuele NaspettiNAS,Jordan Hart,1:17.321,+4.876s
22,21,Michele AlboretoALB,Lola Ferrari,1:17.504,+5.059s
23,23,Christian FittipaldiFIT,Minardi Ford,1:17.525,+5.080s
24,19,Philippe AlliotALL,Larrousse Lamborghini,1:17.956,+5.511s
25,22,Luca BadoerBAD,Lola Ferrari,1:18.029,+5.584s
26,20,Erik ComasCOM,Larrousse Lamborghini,14:32.667,
