Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:21.731,
2,28,Gerhard BergerBER,Ferrari,1:22.092,+0.361s
3,8,Ayrton SennaSEN,McLaren Ford,1:22.187,+0.456s
4,6,Riccardo PatresePAT,Benetton Ford,1:22.209,+0.478s
5,29,Karl WendlingerWEN,Sauber,1:22.258,+0.527s
6,5,Michael SchumacherMSC,Benetton Ford,1:22.537,+0.806s
7,27,Jean AlesiALE,Ferrari,1:23.261,+1.530s
8,0,Damon HillHIL,Williams Renault,1:23.951,+2.220s
9,30,Jyrki JarvilehtoJAR,Sauber,1:24.006,+2.275s
10,9,Derek WarwickWAR,Footwork Mugen Honda,1:24.106,+2.375s
11,7,Michael AndrettiAND,McLaren Ford,1:24.511,+2.780s
12,25,Martin BrundleBRU,Ligier Renault,1:24.573,+2.842s
13,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:24.619,+2.888s
14,20,Erik ComasCOM,Larrousse Lamborghini,1:24.805,+3.074s
15,26,Mark BlundellBLU,Ligier Renault,1:24.923,+3.192s
16,14,Rubens BarrichelloBAR,Jordan Hart,1:25.005,+3.274s
17,23,Christian FittipaldiFIT,Minardi Ford,1:25.371,+3.640s
18,24,Fabrizio BarbazzaBAR,Minardi Ford,1:25.499,+3.768s
19,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:25.609,+3.878s
20,12,Johnny HerbertHER,Lotus Ford,1:25.732,+4.001s
21,11,Alessandro ZanardiZAN,Lotus Ford,1:25.990,+4.259s
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:26.475,+4.744s
23,15,Thierry BoutsenBOU,Jordan Hart,1:26.985,+5.254s
24,19,Philippe AlliotALL,Larrousse Lamborghini,1:27.503,+5.772s
25,21,Michele AlboretoALB,Lola Ferrari,1:27.518,+5.787s
26,22,Luca BadoerBAD,Lola Ferrari,1:30.421,+8.690s
