Pos,No,Driver,Car,Time,Gap
1,8,Ayrton SennaSEN,McLaren Ford,1:18.533,
2,7,Michael AndrettiAND,McLaren Ford,1:18.896,+0.363s
3,6,Riccardo PatresePAT,Benetton Ford,1:19.375,+0.842s
4,25,Martin BrundleBRU,Ligier Renault,1:19.380,+0.847s
5,26,Mark BlundellBLU,Ligier Renault,1:19.950,+1.417s
6,23,Christian FittipaldiFIT,Minardi Ford,1:19.975,+1.442s
7,20,Erik ComasCOM,Larrousse Lamborghini,1:20.003,+1.470s
8,15,Ivan CapelliCAP,Jordan Hart,1:20.029,+1.496s
9,27,Jean AlesiALE,Ferrari,1:20.083,+1.550s
10,5,Michael SchumacherMSC,Benetton Ford,1:20.127,+1.594s
11,14,Rubens BarrichelloBAR,Jordan Hart,1:20.134,+1.601s
12,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:20.198,+1.665s
13,11,Alessandro ZanardiZAN,Lotus Ford,1:20.279,+1.746s
14,9,Derek WarwickWAR,Footwork Mugen Honda,1:20.530,+1.997s
15,28,Gerhard BergerBER,Ferrari,1:20.743,+2.210s
16,19,Philippe AlliotALL,Larrousse Lamborghini,1:20.813,+2.280s
17,2,Alain ProstPRO,Williams Renault,1:20.834,+2.301s
18,0,Damon HillHIL,Williams Renault,1:20.934,+2.401s
19,30,Jyrki JarvilehtoJAR,Sauber,1:21.168,+2.635s
20,29,Karl WendlingerWEN,Sauber,1:21.296,+2.763s
21,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:21.638,+3.105s
22,12,Johnny HerbertHER,Lotus Ford,1:22.032,+3.499s
23,22,Luca BadoerBAD,Lola Ferrari,1:22.058,+3.525s
24,24,Fabrizio BarbazzaBAR,Minardi Ford,1:22.810,+4.277s
25,21,Michele AlboretoALB,Lola Ferrari,1:22.960,+4.427s
26,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:26.099,+7.566s
