Pos,No,Driver,Car,Time,Gap
1,0,Damon HillHIL,Williams Renault,1:22.524,
2,2,Alain ProstPRO,Williams Renault,1:22.804,+0.280s
3,8,Ayrton SennaSEN,McLaren Ford,1:23.250,+0.726s
4,5,Michael SchumacherMSC,Benetton Ford,1:24.313,+1.789s
5,29,Karl WendlingerWEN,Sauber,1:25.050,+2.526s
6,12,Johnny HerbertHER,Lotus Ford,1:25.068,+2.544s
7,7,Michael AndrettiAND,McLaren Ford,1:25.343,+2.819s
8,27,Jean AlesiALE,Ferrari,1:25.401,+2.877s
9,14,Rubens BarrichelloBAR,Jordan Hart,1:25.430,+2.906s
10,26,Mark BlundellBLU,Ligier Renault,1:25.442,+2.918s
11,9,Derek WarwickWAR,Footwork Mugen Honda,1:25.608,+3.084s
12,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:25.766,+3.242s
13,25,Martin BrundleBRU,Ligier Renault,1:25.907,+3.383s
14,30,Jyrki JarvilehtoJAR,Sauber,1:26.084,+3.560s
15,11,Alessandro ZanardiZAN,Lotus Ford,1:26.278,+3.754s
16,20,Erik ComasCOM,Larrousse Lamborghini,1:26.413,+3.889s
17,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:26.535,+4.011s
18,15,Thierry BoutsenBOU,Jordan Hart,1:26.630,+4.106s
19,19,Philippe AlliotALL,Larrousse Lamborghini,1:26.985,+4.461s
20,24,Fabrizio BarbazzaBAR,Minardi Ford,1:27.045,+4.521s
21,22,Luca BadoerBAD,Lola Ferrari,1:27.408,+4.884s
22,28,Gerhard BergerBER,Ferrari,1:27.435,+4.911s
23,21,Michele AlboretoALB,Lola Ferrari,1:27.570,+5.046s
24,23,Christian FittipaldiFIT,Minardi Ford,1:27.846,+5.322s
25,6,Riccardo PatresePAT,Benetton Ford,1:29.311,+6.787s
26,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:29.810,+7.286s
