Pos,No,Driver,Car,Time,Gap
1,0,Damon HillHIL,Williams Renault,1:18.551,
2,2,Alain ProstPRO,Williams Renault,1:19.699,+1.148s
3,8,Ayrton SennaSEN,McLaren Ford,1:20.078,+1.527s
4,5,Michael SchumacherMSC,Benetton Ford,1:20.146,+1.595s
5,29,Karl WendlingerWEN,Sauber,1:22.363,+3.812s
6,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:22.763,+4.212s
7,27,Jean AlesiALE,Ferrari,1:22.874,+4.323s
8,26,Mark BlundellBLU,Ligier Renault,1:22.914,+4.363s
9,11,Alessandro ZanardiZAN,Lotus Ford,1:23.054,+4.503s
10,14,Rubens BarrichelloBAR,Jordan Hart,1:23.297,+4.746s
11,12,Johnny HerbertHER,Lotus Ford,1:23.353,+4.802s
12,30,Jyrki JarvilehtoJAR,Sauber,1:23.406,+4.855s
13,28,Gerhard BergerBER,Ferrari,1:23.457,+4.906s
14,20,Erik ComasCOM,Larrousse Lamborghini,1:23.769,+5.218s
15,9,Derek WarwickWAR,Footwork Mugen Honda,1:23.800,+5.249s
16,25,Martin BrundleBRU,Ligier Renault,1:23.830,+5.279s
17,15,Thierry BoutsenBOU,Jordan Hart,1:23.972,+5.421s
18,6,Riccardo PatresePAT,Benetton Ford,1:24.182,+5.631s
19,19,Philippe AlliotALL,Larrousse Lamborghini,1:24.333,+5.782s
20,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:24.355,+5.804s
21,24,Fabrizio BarbazzaBAR,Minardi Ford,1:24.951,+6.400s
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:25.290,+6.739s
23,22,Luca BadoerBAD,Lola Ferrari,1:25.766,+7.215s
24,21,Michele AlboretoALB,Lola Ferrari,1:26.123,+7.572s
25,7,Michael AndrettiAND,McLaren Ford,1:26.823,+8.272s
26,23,Christian FittipaldiFIT,Minardi Ford,1:27.335,+8.784s
