Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,Williams Renault,1:19.376,
2,0,Damon HillHIL,Williams Renault,1:20.133,+0.757s
3,5,Michael SchumacherMSC,Benetton Ford,1:21.175,+1.799s
4,28,Gerhard BergerBER,Ferrari,1:21.312,+1.936s
5,6,Riccardo PatresePAT,Benetton Ford,1:21.450,+2.074s
6,29,Karl WendlingerWEN,Sauber,1:21.605,+2.229s
7,7,Michael AndrettiAND,McLaren Ford,1:21.659,+2.283s
8,8,Ayrton SennaSEN,McLaren Ford,1:22.020,+2.644s
9,25,Martin BrundleBRU,Ligier Renault,1:22.080,+2.704s
10,20,Erik ComasCOM,Larrousse Lamborghini,1:22.170,+2.794s
11,14,Rubens BarrichelloBAR,Jordan Hart,1:22.298,+2.922s
12,26,Mark BlundellBLU,Ligier Renault,1:22.345,+2.969s
13,12,Johnny HerbertHER,Lotus Ford,1:22.580,+3.204s
14,23,Christian FittipaldiFIT,Minardi Ford,1:22.700,+3.324s
15,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:22.854,+3.478s
16,9,Derek WarwickWAR,Footwork Mugen Honda,1:23.048,+3.672s
17,11,Alessandro ZanardiZAN,Lotus Ford,1:23.101,+3.725s
18,19,Philippe AlliotALL,Larrousse Lamborghini,1:23.162,+3.786s
19,30,Jyrki JarvilehtoJAR,Sauber,1:23.318,+3.942s
20,15,Thierry BoutsenBOU,Jordan Hart,1:23.459,+4.083s
21,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:24.105,+4.729s
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:24.152,+4.776s
23,24,Fabrizio BarbazzaBAR,Minardi Ford,1:24.803,+5.427s
24,21,Michele AlboretoALB,Lola Ferrari,1:24.918,+5.542s
25,22,Luca BadoerBAD,Lola Ferrari,1:25.307,+5.931s
